date,Open,High,Low,Close,Volume,aVWAP_OB_bull_798,aVWAP_OB_bull_406,aVWAP_OB_bull_366,aVWAP_OB_bull_164,aVWAP_OB_bull_143,aVWAP_OB_bear_624,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-05 15:00:00+00:00,19.48,19.48,19.245,19.345,11032.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,11032.0,False,False,False,False
2024-12-05 16:00:00+00:00,19.345,19.46,19.27,19.325,32081.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-32081.0,-497.3798449612403,False,False,False,False,11358.341085271317,False,False,False,False
2024-12-05 17:00:00+00:00,19.325,19.365,19.285,19.345,5927.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,14.965986394557822,-79.93197278911563,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-26154.0,-895.1569016285079,False,False,False,False,11274.134246739979,False,False,False,False
2024-12-05 18:00:00+00:00,19.345,19.465,19.335,19.465,4450.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,36.20891580075261,-59.212121967223936,False,False,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,-21704.0,-1217.7746240838796,False,False,False,False,11168.33371578277,False,False,False,False
2024-12-05 19:00:00+00:00,19.475,19.52,19.44,19.46,3210.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,50.506377640707015,-45.207668803921294,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-24914.0,-1585.1579632453697,False,False,False,False,11044.948696933425,False,False,False,False
2024-12-05 20:00:00+00:00,19.465,19.51,19.445,19.465,13016.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,60.861805364179574,-34.64883701495106,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-11898.0,-1745.046987071023,False,False,False,False,11075.507631864688,False,False,False,False
2024-12-06 15:00:00+00:00,19.07,19.17,18.985,19.0,4136.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,48.72110884181965,-34.64883701495106,False,False,False,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,-16034.0,-1966.581142310232,False,False,False,False,10967.918366254382,False,False,False,False
2024-12-06 16:00:00+00:00,19.005,19.08,18.975,19.015,5506.0,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,40.683782259779846,-34.64883701495106,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-10528.0,-2099.3163183984457,False,False,False,False,10883.237461351213,False,False,False,False
2024-12-06 17:00:00+00:00,19.015,19.055,18.925,18.945,3360.0,,,,,,,0.0,0.0,0.0,0.0,18.975,#000000,,18.975,,34.22184053983315,-34.64883701495106,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-13888.0,-2282.086608035679,False,False,False,False,10766.598120865148,False,False,False,False
2024-12-06 18:00:00+00:00,18.945,19.025,18.925,19.0,1785.0,,,,,,,0.0,0.0,0.0,0.0,18.980612244897962,#000000,,18.980612244897962,,31.848277725549377,-34.64883701495106,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-12103.0,-2434.348831166909,False,False,False,False,10627.34853759592,False,False,False,False
2024-12-06 19:00:00+00:00,19.005,19.07,18.965,19.05,4075.0,,,,,,,0.0,0.0,0.0,0.0,19.00740564053018,#000000,,19.00740564053018,,32.00303590621083,-34.64883701495106,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-8028.0,-2521.0721051023056,False,False,False,False,10525.761738563426,False,False,False,False
2024-12-06 20:00:00+00:00,19.065,19.11,19.02,19.08,25870.0,,,,,,,0.0,0.0,0.0,0.0,19.055714663951036,#000000,,19.055714663951036,,33.16717074397566,-34.64883701495106,False,False,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,17842.0,-2205.3655608371537,False,False,False,False,10763.656905407404,False,False,False,False
2024-12-09 15:00:00+00:00,19.78,20.04,19.73,19.93,23543.0,,,,,,,0.0,0.0,0.0,0.0,19.569984215292454,#000000,,19.569984215292454,,45.49769646026358,-34.64883701495106,False,False,False,False,False,,,,0,,,False,False,False,False,,,False,False,False,False,41385.0,-1529.5459397389031,False,False,False,False,10961.786255711166,False,False,False,False
2024-12-09 16:00:00+00:00,19.93,19.93,19.665,19.74,11484.0,,,,,,,0.0,0.0,0.0,0.0,19.598445139309582,#000000,,19.598445139309582,,51.381843119671274,-31.038790549451,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,29901.0,-1042.250653851478,False,False,False,False,10969.882592831922,False,False,False,False
2024-12-09 17:00:00+00:00,19.74,19.78,19.55,19.57,7061.0,,,,,,,0.0,0.0,0.0,0.0,19.59608429975074,#000000,,19.59608429975074,,53.38371682680283,-27.10409634422509,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,22840.0,-671.9832018537807,False,False,False,False,10909.279761935302,False,False,False,False
2024-12-09 18:00:00+00:00,19.555,19.645,19.48,19.635,5218.0,,,,,,,0.0,0.0,0.0,0.0,19.591884775711584,#000000,,19.591884775711584,,55.36924051926197,-23.094912803265704,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,28058.0,-226.55710570100882,False,False,False,False,10821.042866401422,False,False,False,False
2024-12-09 19:00:00+00:00,19.635,19.705,19.565,19.635,13549.0,,,,,,,0.0,0.0,0.0,0.0,19.5938304815423,#000000,,19.5938304815423,,56.78747172816136,-19.59887726357921,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,28058.0,211.96315950365798,False,False,False,False,10863.336775449461,False,False,False,False
2024-12-09 20:00:00+00:00,19.625,19.645,19.5,19.555,20575.0,,,,,,,0.0,0.0,0.0,0.0,19.58420559933725,#000000,,19.58420559933725,,56.67884774472927,-17.54067943281347,False,False,True,False,True,,,,0,,,False,False,False,False,,,False,False,False,False,7483.0,324.6924128446865,False,False,False,False,11013.905197535516,False,False,False,False
