date,Close,High,Low,Open,Volume,aVWAP_peak_133,aVWAP_peak_113,aVWAP_peak_103,aVWAP_peak_83,aVWAP_peak_57,aVWAP_valley_171,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,3.31,3.44,3.21,3.44,4830040,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4830040.0,False,False,False,False
2022-01-07 00:00:00+00:00,3.2,3.48,3.02,3.33,10829580,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-10829580,-802191.1111111111,False,False,False,False,5274450.37037037,False,False,False,False
2022-01-14 00:00:00+00:00,3.26,3.41,3.085,3.16,6662239,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-4167341,-1051461.4732510287,False,False,False,False,5377249.528120713,False,False,False,False
2022-01-21 00:00:00+00:00,3.08,3.27,2.97,3.2,6760272,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-10927613,-1783028.2530102115,False,False,False,False,5479695.637148809,False,False,False,False
2022-01-28 00:00:00+00:00,2.99,3.11,2.705,3.02,12226094,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-23153707,-3366041.4935279735,False,False,False,False,5979428.8492118595,False,False,False,False
2022-02-04 00:00:00+00:00,2.92,3.15,2.76,2.94,9597871,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-32751578,-5542747.90141479,False,False,False,False,6247461.601122092,False,False,False,False
2022-02-11 00:00:00+00:00,3.36,3.44,2.88,2.88,12568390,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-20183188,-6627224.945754435,False,False,False,False,6715678.519557493,False,False,False,False
2022-02-18 00:00:00+00:00,3.75,3.75,3.1917,3.35,19272061,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-911127,-6203810.283105958,False,False,False,False,7645780.9255161965,False,False,False,False
2022-02-25 00:00:00+00:00,3.72,4.1,3.26,3.71,26305976,,,,,,,,,#000000,,,,False,False,False,False,,,False,False,False,False,-27217103,-7760350.484357368,False,False,False,False,9028017.597700182,False,False,False,False
2022-03-04 00:00:00+00:00,3.52,3.97,3.46,3.73,28308749,,,,,,,,,#000000,,,,False,False,False,False,0.3428281626931029,0.3428281626931029,False,False,False,False,-55525852,-11298535.781812377,False,False,False,False,10456219.923796464,False,False,False,False
2022-03-11 00:00:00+00:00,3.64,3.77,3.27,3.54,13201220,,,,,,,,,#000000,,,,False,False,False,False,0.17230429118686563,0.25756622693998427,False,False,False,False,-42324632,-13596765.131307757,False,False,False,False,10659553.262774503,False,False,False,False
2022-03-18 00:00:00+00:00,3.71,3.805,3.47,3.62,16639918,,,,,,,,,#000000,,,,False,False,False,False,0.2732606637125351,0.26541344532625966,False,False,False,False,-25684714,-14492168.751210885,False,False,False,False,11102543.243309725,False,False,False,False
2022-03-25 00:00:00+00:00,3.67,3.78,3.505,3.69,9899033,,,,,,,,,#000000,,,,False,False,False,False,0.27766537654402745,0.27153941093514355,False,False,False,False,-35583747,-16054507.88075082,False,False,False,False,11013394.336397894,False,False,False,False
2022-04-01 00:00:00+00:00,3.48,3.785,3.425,3.64,7895604,,,,,,,,,#000000,,,,False,False,False,False,0.24487259616016638,0.258206003547655,False,False,False,False,-43479351,-18085977.741435945,False,False,False,False,10782446.904072125,False,False,False,False
2022-04-08 00:00:00+00:00,3.18,3.535,3.07,3.49,12752781,,,,,,,,,#000000,,,,False,False,False,False,-0.02823122163985662,0.11498739095389919,False,False,False,False,-56232132,-20911618.797625873,False,False,False,False,10928397.57784456,False,False,False,False
2022-04-15 00:00:00+00:00,3.2,3.255,3.05,3.14,5544159,,,,,,,,,#000000,,,,False,False,False,False,-0.34282825441539394,-0.11392043173074737,False,False,False,False,-50687973,-23117274.664468404,False,False,False,False,10529565.090596814,False,False,False,False
