date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2022-01-03 00:00:00+00:00,9.72,9.73,9.7,9.705,11637,0,,,
2022-01-04 00:00:00+00:00,9.72,9.72,9.72,9.72,0,0,,,
2022-01-05 00:00:00+00:00,9.72,9.72,9.72,9.72,5,0,,,
2022-01-06 00:00:00+00:00,9.71,9.72,9.71,9.71,3123,0,,,
2022-01-07 00:00:00+00:00,9.75,9.75,9.725,9.725,1499,0,,,
2022-01-10 00:00:00+00:00,9.71,9.71,9.71,9.71,100002,0,,,
2022-01-11 00:00:00+00:00,9.73,9.73,9.7,9.7,12321,0,,,
2022-01-12 00:00:00+00:00,9.72,9.72,9.72,9.72,340,0,,,
2022-01-13 00:00:00+00:00,9.725,9.725,9.725,9.725,760,0,,,
2022-01-14 00:00:00+00:00,9.7,9.7,9.7,9.7,100043,0,,,
2022-01-18 00:00:00+00:00,9.7,9.7,9.7,9.7,97,0,,,
2022-01-19 00:00:00+00:00,9.73,9.73,9.73,9.73,451,0,,,
2022-01-20 00:00:00+00:00,9.68,9.68,9.68,9.68,419,0,,,
2022-01-21 00:00:00+00:00,9.67,9.67,9.65,9.67,8108,0,,,9.663333333333334
2022-01-24 00:00:00+00:00,9.67,9.67,9.67,9.67,1105,0,,,9.664132928108833
2022-01-25 00:00:00+00:00,9.73,9.73,9.65,9.65,115397,0,,,9.702367243577742
2022-01-26 00:00:00+00:00,9.68,9.68,9.68,9.68,4693,0,,,9.701512120190715
2022-01-27 00:00:00+00:00,9.67,9.67,9.67,9.67,2562,0,,,9.700868328352806
2022-01-28 00:00:00+00:00,9.67,9.67,9.67,9.67,145,0,,,9.700832678522728
2022-01-31 00:00:00+00:00,9.67,9.67,9.66,9.66,271,0,,,9.700759101039628
2022-02-01 00:00:00+00:00,9.67,9.67,9.67,9.67,25,0,,,9.700752990709931
2022-02-02 00:00:00+00:00,9.68,9.68,9.68,9.68,2199,0,,,9.700396373717554
2022-02-03 00:00:00+00:00,9.67,9.67,9.67,9.67,18268,0,,,9.696601854724172
2022-02-04 00:00:00+00:00,9.67,9.67,9.67,9.67,0,0,,,9.696601854724172
2022-02-07 00:00:00+00:00,9.67,9.67,9.67,9.67,15,0,,,9.69659912855946
2022-02-08 00:00:00+00:00,9.68,9.68,9.68,9.68,823,0,,,9.696506261040927
2022-02-09 00:00:00+00:00,9.69,9.69,9.68,9.68,17990,0,,,9.695433080339473
2022-02-10 00:00:00+00:00,9.7,9.7,9.695,9.7,243525,0,,,9.697155134434528
2022-02-11 00:00:00+00:00,9.7,9.7,9.7,9.7,61,0,,,9.697155558183626
2022-02-14 00:00:00+00:00,9.7,9.7,9.7,9.7,145,0,,,9.697156564949518
2022-02-15 00:00:00+00:00,9.68,9.69,9.68,9.69,1315,0,,,9.697112267379515
2022-02-16 00:00:00+00:00,9.68,9.68,9.68,9.68,14,0,,,9.697111683608043
2022-02-17 00:00:00+00:00,9.68,9.68,9.68,9.68,500,0,,,9.69709086071091
2022-02-18 00:00:00+00:00,9.68,9.68,9.68,9.68,225,0,,,9.69708150693364
2022-02-22 00:00:00+00:00,9.69,9.695,9.6899,9.69,3318,0,,,9.697037868278395
2022-02-23 00:00:00+00:00,9.69,9.69,9.69,9.69,17,0,,,9.697037579510045
2022-02-24 00:00:00+00:00,9.71,9.71,9.7,9.7,1112,0,,,9.697063331231169
2022-02-25 00:00:00+00:00,9.69,9.71,9.69,9.7099,4213,0,,,9.697059315787618
2022-02-28 00:00:00+00:00,9.69,9.7069,9.69,9.7069,4482,0,,,9.697044217939817
2022-03-01 00:00:00+00:00,9.74,9.75,9.73,9.75,14467,0,,,9.708845228996084
2022-03-02 00:00:00+00:00,9.74,9.74,9.74,9.74,16,0,,,9.708846364836234
2022-03-03 00:00:00+00:00,9.74,9.74,9.72,9.72,777,0,,,9.708807724673411
2022-03-04 00:00:00+00:00,9.735,9.74,9.72,9.73,11933,0,,,9.708587598308611
2022-03-07 00:00:00+00:00,9.74,9.74,9.725,9.74,10632,0,,,9.709120780920692
2022-03-08 00:00:00+00:00,9.74,9.74,9.73,9.73,23554,0,,,9.7105266739605
2022-03-09 00:00:00+00:00,9.74,9.74,9.74,9.74,64,0,,,9.71053143229994
2022-03-10 00:00:00+00:00,9.7499,9.7499,9.74,9.74,551752,0,,,9.730672371178455
2022-03-11 00:00:00+00:00,9.75,9.75,9.73,9.75,24402,0,,,9.730954790695229
2022-03-14 00:00:00+00:00,9.74,9.7401,9.74,9.7401,1133,0,,,9.730963503247045
2022-03-15 00:00:00+00:00,9.76,9.76,9.76,9.76,158210,0,,,9.739980483838004
2022-03-16 00:00:00+00:00,9.755,9.755,9.755,9.755,694,0,,,9.739985616067116
2022-03-17 00:00:00+00:00,9.75,9.75,9.75,9.75,430,0,,,9.739984516496648
2022-03-18 00:00:00+00:00,9.7451,9.7451,9.7451,9.7451,105,0,,,9.739983225126542
2022-03-21 00:00:00+00:00,9.7451,9.7451,9.7451,9.7451,13,0,,,9.73998306541445
2022-03-22 00:00:00+00:00,9.7451,9.7451,9.7451,9.7451,0,0,,,9.73998306541445
2022-03-23 00:00:00+00:00,9.7451,9.7451,9.7451,9.7451,70,0,,,9.739982206076231
2022-03-24 00:00:00+00:00,9.755,9.755,9.755,9.755,217,0,,,9.739983831036534
2022-03-25 00:00:00+00:00,9.75,9.75,9.75,9.75,218,0,,,9.739983295479478
2022-03-28 00:00:00+00:00,9.73,9.7501,9.72,9.75,7561,0,,,9.738666049832466
2022-03-29 00:00:00+00:00,9.73,9.74,9.73,9.735,1303,0,,,9.738630043541383
2022-03-30 00:00:00+00:00,9.73,9.73,9.73,9.73,0,0,,,9.738630043541383
2022-03-31 00:00:00+00:00,9.75,9.75,9.74,9.74,4556,0,,,9.739359183641772
2022-04-01 00:00:00+00:00,9.74,9.74,9.74,9.74,432,0,,,9.73936357856005
2022-04-04 00:00:00+00:00,9.745,9.745,9.74,9.74,75404,0,,,9.739670787663082
2022-04-05 00:00:00+00:00,9.76,9.77,9.75,9.75,13855,0,,,9.740299197965635
2022-04-06 00:00:00+00:00,9.7572,9.7572,9.75,9.75,337,0,,,9.74030813493515
2022-04-07 00:00:00+00:00,9.75,9.76,9.75,9.75,4024,0,,,9.740395923875694
2022-04-08 00:00:00+00:00,9.77,9.77,9.77,9.77,206,0,,,9.740409680679099
2022-04-11 00:00:00+00:00,9.76,9.76,9.75,9.75,11000,0,,,9.740723116742773
2022-04-12 00:00:00+00:00,9.76,9.76,9.76,9.76,1175,0,,,9.740764426570264
2022-04-13 00:00:00+00:00,9.76,9.8,9.76,9.8,1262,0,,,9.745491061575649
2022-04-14 00:00:00+00:00,9.79,9.79,9.76,9.78,1251,0,,,9.746055396291542
2022-04-18 00:00:00+00:00,9.78,9.8,9.76,9.772,5312,0,,,9.750906627727367
2022-04-19 00:00:00+00:00,9.7711,9.78,9.7711,9.78,559,0,,,9.750822584628558
2022-04-20 00:00:00+00:00,9.78,9.78,9.77,9.78,9331,0,,,9.750956253168518
