date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2023-10-04 00:00:00+00:00,6.01,7.0,5.07,6.73,3559380,0,,,
2023-10-05 00:00:00+00:00,6.09,6.25,5.6,5.66,5060708,0,,,
2023-10-06 00:00:00+00:00,6.6,6.67,6.01,6.01,3914483,0,,,
2023-10-09 00:00:00+00:00,7.94,8.1399,6.48,6.6,3364747,0,,,
2023-10-10 00:00:00+00:00,7.68,7.8007,7.3701,7.71,2872229,0,,,
2023-10-11 00:00:00+00:00,7.08,7.61,6.9,7.57,1495877,0,,,
2023-10-12 00:00:00+00:00,7.0,7.3,6.925,7.01,2432877,0,,,
2023-10-13 00:00:00+00:00,7.0,7.22,6.97,7.0,1801763,0,,,
2023-10-16 00:00:00+00:00,6.95,7.18,6.95,7.04,1433043,0,,,
2023-10-17 00:00:00+00:00,6.99,7.13,6.76,6.9,1288232,0,,,
2023-10-18 00:00:00+00:00,6.69,7.1,6.6525,7.1,1567003,0,,,
2023-10-19 00:00:00+00:00,6.44,6.75,6.36,6.61,1767454,0,,,
2023-10-20 00:00:00+00:00,6.17,6.33,5.91,6.27,1450170,0,,,
2023-10-23 00:00:00+00:00,5.75,6.09,5.65,6.07,1437197,0,,,
2023-10-24 00:00:00+00:00,6.39,6.42,5.74,5.75,1560491,0,,,
2023-10-25 00:00:00+00:00,6.12,6.47,6.095,6.35,910121,0,,,
2023-10-26 00:00:00+00:00,5.69,6.1,5.525,6.0,1744563,0,,,
2023-10-27 00:00:00+00:00,5.81,6.05,5.6,5.66,733539,0,,,
2023-10-30 00:00:00+00:00,5.57,6.0,5.53,5.79,699737,0,,,
2023-10-31 00:00:00+00:00,5.53,5.96,5.51,5.51,1057678,0,,,
2023-11-01 00:00:00+00:00,5.49,5.59,5.38,5.5,665932,0,,,5.486666666666666
2023-11-02 00:00:00+00:00,5.61,5.74,5.4,5.44,743938,0,,,5.537674211097477
2023-11-03 00:00:00+00:00,5.8,5.88,5.65,5.67,876339,0,,,5.629283687536879
2023-11-06 00:00:00+00:00,5.81,6.19,5.77,5.81,1234437,0,,,5.732385721256837
2023-11-07 00:00:00+00:00,5.95,6.08,5.72,5.8,994994,0,,,5.772990914539983
2023-11-08 00:00:00+00:00,6.07,6.52,5.93,6.2,1172503,0,,,6.014423629410629
2023-11-09 00:00:00+00:00,5.82,6.32,5.815,6.11,1286912,0,,,5.977095260165969
2023-11-10 00:00:00+00:00,5.75,5.86,5.58,5.85,900148,0,,,5.922366366421452
2023-11-13 00:00:00+00:00,5.66,5.87,5.5,5.76,927334,0,,,5.87951839267687
2023-11-14 00:00:00+00:00,5.85,5.96,5.61,5.75,996279,0,,,5.8673489747295715
2023-11-15 00:00:00+00:00,5.96,6.14,5.81,5.82,1355685,0,,,5.8829000896659585
2023-11-16 00:00:00+00:00,5.44,5.99,5.41,5.91,1806783,0,,,5.8342377199929025
2023-11-17 00:00:00+00:00,5.59,5.67,5.34,5.52,944686,0,,,5.808670102785308
2023-11-20 00:00:00+00:00,5.9,6.28,5.72,5.89,2825862,0,,,5.840070315977925
2023-11-21 00:00:00+00:00,5.82,6.1,5.74,6.1,1357458,0,,,5.844018023532241
2023-11-22 00:00:00+00:00,5.69,5.86,5.51,5.86,1269792,0,,,5.832026138423862
2023-11-24 00:00:00+00:00,5.76,5.83,5.65,5.69,1119293,0,,,5.826640456605103
2023-11-27 00:00:00+00:00,5.47,5.72,5.4,5.7,1828110,0,,,5.799175104547972
2023-11-28 00:00:00+00:00,5.37,5.54,5.31,5.47,1276760,0,,,5.775390192398153
2023-11-29 00:00:00+00:00,5.27,5.47,5.21,5.38,1405038,0,,,5.746750989630192
2023-11-30 00:00:00+00:00,5.31,5.33,5.14,5.3,1293486,0,,,5.720323338340629
2023-12-01 00:00:00+00:00,5.56,5.6,5.2,5.26,1326265,0,,,5.70626659224098
2023-12-04 00:00:00+00:00,5.34,5.59,5.3,5.45,910930,0,,,5.69593120933002
2023-12-05 00:00:00+00:00,5.17,5.465,5.11,5.25,2129530,0,,,5.52423366853548
2023-12-06 00:00:00+00:00,5.51,5.59,5.12,5.2,1751074,0,,,5.538122730414343
2023-12-07 00:00:00+00:00,5.52,5.5795,5.34,5.46,1093163,0,,,5.545936821178671
2023-12-08 00:00:00+00:00,5.75,5.9287,5.53,5.53,1910609,0,,,5.584893774856397
2023-12-11 00:00:00+00:00,5.63,5.78,5.45,5.74,1577262,0,,,5.5939844720071195
2023-12-12 00:00:00+00:00,5.42,5.61,5.25,5.61,1873302,0,,,5.582643088316428
2023-12-13 00:00:00+00:00,5.68,5.71,5.28,5.36,2116995,0,,,5.584221078172973
2023-12-14 00:00:00+00:00,6.07,6.15,5.75,5.77,2472580,0,,,5.626175535455778
2023-12-15 00:00:00+00:00,6.12,6.36,6.03,6.18,3406860,0,,,5.689530540430287
2023-12-18 00:00:00+00:00,6.23,6.33,6.01,6.17,1404216,0,,,5.71167253578092
2023-12-19 00:00:00+00:00,6.4,6.49,6.27,6.27,1332464,0,,,5.738492428402058
2023-12-20 00:00:00+00:00,6.03,6.36,6.025,6.3,1041337,0,,,5.750311776494494
2023-12-21 00:00:00+00:00,6.53,6.55,6.15,6.16,1430986,0,,,5.776016930489004
2023-12-22 00:00:00+00:00,6.38,6.67,6.34,6.4,1330374,0,,,5.7998236198499775
2023-12-26 00:00:00+00:00,6.4,6.54,6.3017,6.37,977449,0,,,5.814916465348972
2023-12-27 00:00:00+00:00,6.44,6.625,6.37,6.37,1314970,0,,,5.83605283293248
2023-12-28 00:00:00+00:00,6.51,6.69,6.38,6.43,3053356,0,,,6.044052722828877
2023-12-29 00:00:00+00:00,6.32,6.5599,6.295,6.5,1171611,0,,,6.044254105709648
2024-01-02 00:00:00+00:00,6.36,6.5,6.21,6.24,738901,0,,,6.044665054341704
2024-01-03 00:00:00+00:00,6.1,6.27,5.95,6.27,1246029,0,,,6.030131733809122
2024-01-04 00:00:00+00:00,6.01,6.08,5.935,6.08,973684,0,,,6.0182209762676955
2024-01-05 00:00:00+00:00,5.98,6.03,5.83,5.93,796581,0,,,6.008544980752901
