date,Open,High,Low,Close,Volume,aVWAP_OB_bull_823,aVWAP_OB_bull_735,aVWAP_OB_bull_643,aVWAP_OB_bull_595,aVWAP_OB_bull_186,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-16 15:00:00+00:00,7.295,7.36,7.245,7.255,14734.0,,,,,,,#000000,,,,,,False,False,False,False,False,,,,7.3025,7.3025,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,14734.0,False,False,False,False
2024-12-16 16:00:00+00:00,7.255,7.29,7.175,7.28,19569.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,7.2325,7.3025,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19569.0,303.3953488372093,False,False,False,False,14808.961240310078,False,False,False,False
2024-12-16 17:00:00+00:00,7.285,7.365,7.28,7.305,15230.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,7.2325,7.3225,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34799.0,838.2109248242293,False,False,False,False,14815.48897301845,False,False,False,False
2024-12-16 18:00:00+00:00,7.305,7.37,7.295,7.33,8384.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,7.2325,7.3325,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43183.0,1494.7192825788925,False,False,False,False,14715.775965684828,False,False,False,False
2024-12-16 19:00:00+00:00,7.335,7.425,7.315,7.365,10418.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,7.2325,7.37,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,53601.0,2302.5685960272817,False,False,False,False,14649.143780170336,False,False,False,False
2024-12-16 20:00:00+00:00,7.365,7.405,7.35,7.4,40137.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,7.3774999999999995,7.3774999999999995,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,93738.0,3720.1721836857732,False,False,False,False,15044.304341718082,False,False,False,False
2024-12-17 15:00:00+00:00,7.245,7.355,7.225,7.325,25956.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,86.17289767115341,37.55560790403807,False,False,True,False,False,,,,7.29,7.3774999999999995,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,67782.0,4713.378816496846,False,False,False,False,15213.477917815475,False,False,False,False
2024-12-17 16:00:00+00:00,7.325,7.37,7.255,7.285,11629.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.06747978309693,26.590357944518033,False,False,True,False,False,,,,7.29,7.3774999999999995,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56153.0,5510.892323217825,False,False,False,False,15157.904616764072,False,False,False,False
2024-12-17 17:00:00+00:00,7.29,7.345,7.275,7.33,7413.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,67.89858683908754,23.167146642716062,False,False,True,False,False,,,,7.29,7.3774999999999995,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,63566.0,6410.971512005145,False,False,False,False,15037.828576194086,False,False,False,False
2024-12-17 18:00:00+00:00,7.33,7.345,7.315,7.33,3990.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,64.45265820974795,20.972304735178042,False,False,True,False,False,,,,7.29,7.3774999999999995,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,63566.0,7297.095984687236,False,False,False,False,14866.544412222083,False,False,False,False
2024-12-17 19:00:00+00:00,7.335,7.335,7.265,7.285,6674.0,,,,,,,"rgba(38, 166, 154, 0.5)",,,,58.257773687417426,15.936818306016363,False,False,True,False,False,,,,7.29,7.3774999999999995,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56892.0,8066.00922523472,False,False,False,False,14739.52821978453,False,False,False,False
2024-12-17 20:00:00+00:00,7.285,7.285,7.21,7.25,22892.0,,,,,,,#000000,,,,51.82037783053231,10.57801502970387,False,False,False,False,False,,,,7.29,7.020416666666667,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34000.0,8468.086601587669,False,False,False,False,14865.9231311057,False,False,False,False
2024-12-18 15:00:00+00:00,7.205,7.275,7.2,7.25,12674.0,,,,,,,"rgba(239, 83, 80, 0.5)",,,,47.528780592608896,7.055571279172412,False,False,False,True,False,,,,7.29,7.018750000000001,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34000.0,8863.930220167706,False,False,False,False,14831.939826747472,False,False,False,False
