date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2022-01-03 00:00:00+00:00,1.47,1.48,1.41,1.48,5202355,0,,,
2022-01-04 00:00:00+00:00,1.52,1.55,1.465,1.47,8606697,0,,,
2022-01-05 00:00:00+00:00,1.48,1.59,1.47,1.55,10417860,0,,,
2022-01-06 00:00:00+00:00,1.45,1.495,1.42,1.48,9207998,0,,,
2022-01-07 00:00:00+00:00,1.5,1.505,1.42,1.45,7673863,0,,,
2022-01-10 00:00:00+00:00,1.53,1.53,1.45,1.47,8754612,0,,,
2022-01-11 00:00:00+00:00,1.6,1.6,1.48,1.52,8543363,0,,,
2022-01-12 00:00:00+00:00,1.71,1.72,1.5905,1.6,11102510,0,,,
2022-01-13 00:00:00+00:00,1.67,1.75,1.67,1.7,10927937,0,,,
2022-01-14 00:00:00+00:00,1.64,1.68,1.6,1.67,11426006,0,,,
2022-01-18 00:00:00+00:00,1.63,1.71,1.59,1.61,8086232,0,,,
2022-01-19 00:00:00+00:00,1.8,1.82,1.65,1.67,12316546,0,,,1.7566666666666666
2022-01-20 00:00:00+00:00,1.72,1.81,1.72,1.81,9096202,0,,,1.7538346459159126
2022-01-21 00:00:00+00:00,1.63,1.73,1.62,1.72,11299928,0,,,1.7214213776539302
2022-01-24 00:00:00+00:00,1.64,1.66,1.5401,1.62,13130095,0,,,1.690472798641106
2022-01-25 00:00:00+00:00,1.73,1.73,1.59,1.62,8241574,0,,,1.6893848603170967
2022-01-26 00:00:00+00:00,1.61,1.74,1.6,1.72,11827240,0,,,1.6823176020295472
2022-01-27 00:00:00+00:00,1.52,1.6053,1.51,1.55,11544836,0,,,1.6618653955979539
2022-01-28 00:00:00+00:00,1.53,1.53,1.44,1.49,9668659,0,,,1.5719512350907836
2022-01-31 00:00:00+00:00,1.55,1.59,1.5,1.54,7006130,0,,,1.5781364377800096
2022-02-01 00:00:00+00:00,1.58,1.63,1.55,1.58,9963755,0,,,1.5882847828881161
2022-02-02 00:00:00+00:00,1.6,1.62,1.56,1.6,6538250,0,,,1.5919389112008915
2022-02-03 00:00:00+00:00,1.56,1.605,1.515,1.57,7338792,0,,,1.590292407704895
2022-02-04 00:00:00+00:00,1.58,1.605,1.5428,1.55,6280869,0,,,1.5904291935736987
2022-02-07 00:00:00+00:00,1.72,1.72,1.57,1.61,8794767,0,,,1.6008430024548659
2022-02-08 00:00:00+00:00,1.73,1.74,1.68,1.7,8233724,0,,,1.6125750063600992
2022-02-09 00:00:00+00:00,1.72,1.76,1.7095,1.71,5677098,0,,,1.62002954646915
2022-02-10 00:00:00+00:00,1.72,1.79,1.68,1.7,12076177,0,,,1.6328840324542313
2022-02-11 00:00:00+00:00,1.86,1.9,1.73,1.74,14542151,0,,,1.6563670205958068
2022-02-14 00:00:00+00:00,1.92,1.93,1.84,1.87,16112321,0,,,1.6838678302884924
2022-02-15 00:00:00+00:00,1.88,1.89,1.77,1.82,11478637,0,,,1.6959643530719375
2022-02-16 00:00:00+00:00,1.93,1.95,1.87,1.88,10061894,0,,,1.7094089792064926
2022-02-17 00:00:00+00:00,2.01,2.02,1.94,1.95,14625056,0,,,1.818093224089728
2022-02-18 00:00:00+00:00,1.99,2.01,1.91,2.0,11945386,0,,,1.82486797529362
2022-02-22 00:00:00+00:00,1.87,1.9901,1.865,1.97,10825250,0,,,1.8235010068318285
2022-02-23 00:00:00+00:00,1.67,1.79,1.65,1.76,18293692,0,,,1.792379998877409
2022-02-24 00:00:00+00:00,1.65,1.79,1.5901,1.79,9524482,0,,,1.7805944673972505
2022-02-25 00:00:00+00:00,1.7,1.74,1.59,1.65,6879862,0,,,1.7495031200870077
2022-02-28 00:00:00+00:00,1.73,1.75,1.69,1.7,8579263,0,,,1.7527120176763085
2022-03-01 00:00:00+00:00,1.77,1.7997,1.71,1.75,11747657,0,,,1.7573267147149028
2022-03-02 00:00:00+00:00,1.72,1.76,1.69,1.76,9827896,0,,,1.7545124308727509
2022-03-03 00:00:00+00:00,1.71,1.75,1.69,1.7,5049539,0,,,1.752938786375276
2022-03-04 00:00:00+00:00,1.77,1.785,1.685,1.71,9468619,0,,,1.7528901869516105
2022-03-07 00:00:00+00:00,1.75,1.855,1.73,1.77,11955595,0,,,1.7554947955850548
2022-03-08 00:00:00+00:00,1.84,1.91,1.73,1.79,17203399,0,,,1.7633850862360578
2022-03-09 00:00:00+00:00,1.83,1.87,1.7308,1.76,7142754,0,,,1.7652781720281827
2022-03-10 00:00:00+00:00,1.91,1.93,1.82,1.82,9421783,0,,,1.7945455556812
2022-03-11 00:00:00+00:00,1.83,1.93,1.83,1.84,11569175,0,,,1.8073354072110464
2022-03-14 00:00:00+00:00,1.7,1.84,1.63,1.8,12106473,0,,,1.7752598357207228
2022-03-15 00:00:00+00:00,1.69,1.73,1.63,1.66,6858824,0,,,1.7545011054135502
2022-03-16 00:00:00+00:00,1.68,1.715,1.64,1.68,8577672,0,,,1.746110387733777
2022-03-17 00:00:00+00:00,1.81,1.88,1.7,1.7,8271995,0,,,1.7559143663700443
2022-03-18 00:00:00+00:00,1.79,1.83,1.76,1.8,12927948,0,,,1.7633951247373214
2022-03-21 00:00:00+00:00,1.86,1.88,1.7752,1.8,6846341,0,,,1.7691693817531928
2022-03-22 00:00:00+00:00,1.81,1.8502,1.78,1.85,5085336,0,,,1.7714468333601876
2022-03-23 00:00:00+00:00,1.83,1.87,1.8,1.83,6614473,0,,,1.7751278290707768
2022-03-24 00:00:00+00:00,1.85,1.9,1.82,1.85,5533155,0,,,1.7788440578377993
2022-03-25 00:00:00+00:00,1.86,1.8864,1.825,1.83,2640027,0,,,1.7804648106666963
2022-03-28 00:00:00+00:00,1.75,1.84,1.75,1.84,5313716,0,,,1.7803070104212935
2022-03-29 00:00:00+00:00,1.82,1.82,1.68,1.71,5958290,0,,,1.7798646085962853
2022-03-30 00:00:00+00:00,1.83,1.89,1.8004,1.82,4431761,0,,,1.7816278786765414
2022-03-31 00:00:00+00:00,1.8,1.86,1.8,1.84,3611407,0,,,1.7824751180536889
2022-04-01 00:00:00+00:00,1.84,1.855,1.78,1.79,5028888,0,,,1.7837350146063278
2022-04-04 00:00:00+00:00,1.84,1.88,1.8,1.84,4996443,0,,,1.7853554471588655
2022-04-05 00:00:00+00:00,1.77,1.88,1.7442,1.84,6223715,0,,,1.7856665685391082
2022-04-06 00:00:00+00:00,1.73,1.775,1.71,1.77,5515065,0,,,1.784051793242012
2022-04-07 00:00:00+00:00,1.8,1.81,1.72,1.74,4108670,0,,,1.783800256618501
2022-04-08 00:00:00+00:00,1.83,1.84,1.7992,1.8,3315995,0,,,1.7844396608298743
2022-04-11 00:00:00+00:00,1.83,1.87,1.8,1.86,4216790,0,,,1.7854425138878103
2022-04-12 00:00:00+00:00,1.82,1.89,1.805,1.85,6447041,0,,,1.7870417366779177
2022-04-13 00:00:00+00:00,1.86,1.92,1.84,1.86,5564753,0,,,1.78927904049517
2022-04-14 00:00:00+00:00,1.9,1.91,1.825,1.87,5172788,0,,,1.7913576902135864
2022-04-18 00:00:00+00:00,1.91,1.99,1.89,1.93,4974812,0,,,1.8094965424425657
2022-04-19 00:00:00+00:00,1.82,1.8881,1.8,1.86,5178862,0,,,1.8049272198996877
2022-04-20 00:00:00+00:00,1.84,1.87,1.775,1.82,5011325,0,,,1.8035001956015329
2022-04-21 00:00:00+00:00,1.7,1.84,1.675,1.84,9093914,0,,,1.7961442844257531
2022-04-22 00:00:00+00:00,1.64,1.72,1.62,1.69,4877112,0,,,1.7907843693122285
2022-04-25 00:00:00+00:00,1.55,1.6,1.48,1.58,8779427,0,,,1.7767368414157243
2022-04-26 00:00:00+00:00,1.45,1.575,1.45,1.56,5933800,0,,,1.767206140751058
2022-04-27 00:00:00+00:00,1.42,1.4799,1.42,1.42,4517770,0,,,1.7594355591936361
2022-04-28 00:00:00+00:00,1.49,1.49,1.41,1.44,4724356,0,,,1.7525979063645847
2022-04-29 00:00:00+00:00,1.46,1.545,1.44,1.52,4359124,0,,,1.7471687012153856
2022-05-02 00:00:00+00:00,1.39,1.4499,1.34,1.41,8037078,0,,,1.7346228692335601
2022-05-03 00:00:00+00:00,1.43,1.48,1.4,1.42,3788524,0,,,1.7299460948795422
2022-05-04 00:00:00+00:00,1.47,1.48,1.38,1.43,3874239,0,,,1.725502248686447
2022-05-05 00:00:00+00:00,1.38,1.49,1.36,1.48,5794263,0,,,1.7183744699583594
2022-05-06 00:00:00+00:00,1.35,1.4085,1.33,1.39,4154793,0,,,1.7127073973297067
2022-05-09 00:00:00+00:00,1.25,1.35,1.24,1.34,5965282,0,,,1.7029775160997713
2022-05-10 00:00:00+00:00,1.27,1.31,1.22,1.28,3843491,0,,,1.6968168810399769
2022-05-11 00:00:00+00:00,1.24,1.3368,1.24,1.29,5768503,0,,,1.6881245954137962
2022-05-12 00:00:00+00:00,1.18,1.22,1.14,1.21,8697374,0,,,1.6236084292140973
2022-05-13 00:00:00+00:00,1.26,1.28,1.16,1.18,4678483,0,,,1.6193470974189605
2022-05-16 00:00:00+00:00,1.29,1.31,1.25,1.25,3049253,0,,,1.6175437862725919
2022-05-17 00:00:00+00:00,1.33,1.35,1.29,1.33,3101098,0,,,1.6163179329881838
2022-05-18 00:00:00+00:00,1.29,1.32,1.25,1.31,3765609,0,,,1.6132811565108305
2022-05-19 00:00:00+00:00,1.36,1.39,1.3151,1.32,4921059,0,,,1.6113388297138642
2022-05-20 00:00:00+00:00,1.31,1.365,1.29,1.36,3310775,0,,,1.6090760537524962
2022-05-23 00:00:00+00:00,1.34,1.38,1.32,1.36,2355612,0,,,1.607779987400336
