date,Open,High,Low,Close,Volume,aVWAP_OB_bull_851,aVWAP_OB_bull_786,aVWAP_OB_bear_716,aVWAP_OB_bear_503,aVWAP_OB_bear_60,aVWAP_OB_bear_31,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,73.815,74.69,73.815,74.69,266.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,74.2525,74.2525,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,266.0,False,False,False,False
2024-12-02 16:00:00+00:00,74.69,75.26,74.69,75.19,441.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,,False,False,True,False,False,,74.975,74.975,1,0,,,False,False,False,False,,,False,False,False,False,441.0,6.837209302325581,False,False,False,False,268.7131782945736,False,False,False,False
2024-12-02 17:00:00+00:00,75.19,76.32,75.19,76.215,501.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,75.755,75.755,1,0,,,False,False,False,False,,,False,False,False,False,942.0,21.33585722011898,False,False,False,False,272.3145243675259,False,False,False,False
2024-12-02 18:00:00+00:00,76.215,76.52,76.215,76.48,143.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,76.3675,76.3675,1,0,,,False,False,False,False,,,False,False,False,False,1085.0,37.82677416244272,False,False,False,False,270.30964802074254,False,False,False,False
2024-12-02 19:00:00+00:00,76.48,76.76,76.48,76.725,125.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,76.62,76.62,1,0,,,False,False,False,False,,,False,False,False,False,1210.0,56.000002470001746,False,False,False,False,268.05678526073103,False,False,False,False
2024-12-02 20:00:00+00:00,76.755,76.88,76.435,76.45,1322.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,95.7025809570151,46.06069921059718,False,False,True,False,False,,76.62,76.6575,-1,0,,,False,False,False,False,,,False,False,False,False,-112.0,53.39535126891644,False,False,False,False,284.3969901404096,False,False,False,False
2024-12-03 15:00:00+00:00,76.0,76.115,75.425,75.425,200.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,83.37371723132259,34.997986297767085,False,False,True,False,False,,75.77,75.77,-1,0,,,False,False,False,False,,,False,False,False,False,-312.0,47.730307063196804,False,False,False,False,283.08850967311645,False,False,False,False
2024-12-03 16:00:00+00:00,75.425,75.575,75.175,75.355,62.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,74.14912222697103,27.376260356420275,False,False,True,False,False,,75.375,75.375,-1,0,,,False,False,False,False,,,False,False,False,False,-374.0,41.19185269012398,False,False,False,False,279.6607808409751,False,False,False,False
2024-12-03 17:00:00+00:00,75.355,75.93,75.355,75.8,249.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,69.83859425688283,24.448403840663573,False,False,True,False,False,,75.375,75.64250000000001,1,0,,,False,False,False,False,,,False,False,False,False,-125.0,38.615234818959266,False,False,False,False,279.18541989770415,False,False,False,False
2024-12-03 18:00:00+00:00,75.8,75.915,75.7,75.76,159.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,66.49192505641687,22.212761983972754,False,False,True,False,False,,75.375,75.8075,-1,0,,,False,False,False,False,,,False,False,False,False,-284.0,33.61344823261881,False,False,False,False,277.32208005432886,False,False,False,False
2024-12-03 19:00:00+00:00,75.76,76.18,75.525,76.055,290.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,65.46571062262394,21.884700049296512,False,False,True,False,False,,75.8525,75.8525,1,0,,,False,False,False,False,,,False,False,False,False,6.0,33.1853327561441,False,False,False,False,277.51863695271135,False,False,False,False
2024-12-03 20:00:00+00:00,76.14,76.14,75.41,75.5,669.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,61.30147179170355,18.3740039834874,False,False,True,False,False,,75.775,75.8525,-1,0,,,False,False,False,False,,,False,False,False,False,-663.0,22.391761705661246,False,False,False,False,283.5881154495685,False,False,False,False
2024-12-04 15:00:00+00:00,76.03,76.04,75.43,75.43,440.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,57.95179961142165,15.560861066451167,False,False,True,False,False,,75.73500000000001,75.73500000000001,-1,0,,,False,False,False,False,,,False,False,False,False,-1103.0,4.943827415650993,False,False,False,False,286.0131059077147,False,False,False,False
2024-12-04 16:00:00+00:00,75.43,75.715,75.43,75.715,488.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,57.051651151811726,14.896951926422958,False,False,True,False,False,,75.5725,75.73500000000001,1,0,,,False,False,False,False,,,False,False,False,False,-615.0,-4.667704792343595,False,False,False,False,289.14468566108343,False,False,False,False
2024-12-04 17:00:00+00:00,75.715,75.715,75.27,75.39,328.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,54.60797085854615,12.60304171912206,False,False,False,False,False,,75.4925,75.73500000000001,-1,0,,,False,False,False,False,,,False,False,False,False,-943.0,-19.215492314942917,False,False,False,False,289.74709363533015,False,False,False,False
2024-12-04 18:00:00+00:00,75.39,75.39,74.56,74.56,522.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.83666666666666,,49.47882442408554,7.783245856659306,False,False,False,True,False,,75.4925,73.2171875,-1,0,,,False,False,False,False,,,False,False,False,False,-1465.0,-41.63075599998256,False,False,False,False,293.3479138890459,False,False,False,False
2024-12-04 19:00:00+00:00,74.56,74.885,74.56,74.705,553.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.74580155038758,,46.6263498967104,5.152625952881337,False,False,False,True,False,,75.4925,73.06781249999999,-1,0,,,False,False,False,False,,,False,False,False,False,-912.0,-55.12485280618438,False,False,False,False,297.3735276272002,False,False,False,False
2024-12-04 20:00:00+00:00,74.705,75.06,74.57,75.02,2142.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.84812268966138,,46.2613363804485,4.735254938912327,False,False,False,True,False,,75.4925,73.17531249999999,-1,0,,,False,False,False,False,,,False,False,False,False,1230.0,-35.200436483607874,False,False,False,False,325.9723876639878,False,False,False,False
2024-12-05 15:00:00+00:00,75.09,75.41,74.99,75.375,344.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.89114482152313,,47.67280046134696,4.735254938912327,False,False,False,True,False,,75.4925,73.69343749999999,-1,0,,,False,False,False,False,,,False,False,False,False,1574.0,-10.251592507117827,False,False,False,False,326.25188552966233,False,False,False,False
2024-12-05 16:00:00+00:00,75.375,75.375,75.055,75.055,245.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.90992082492457,,47.27670854394195,4.735254938912327,False,False,False,True,False,,75.4925,73.705625,-1,0,,,False,False,False,False,,,False,False,False,False,1329.0,10.511998074387877,False,False,False,False,324.9921663741637,False,False,False,False
2024-12-05 17:00:00+00:00,75.055,75.055,74.92,74.925,326.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.91469079081446,,46.44982148605976,4.098870741968177,False,False,False,True,False,,75.4925,73.5053125,-1,0,,,False,False,False,False,,,False,False,False,False,1003.0,25.899408956955504,False,False,False,False,325.007791701696,False,False,False,False
2024-12-05 18:00:00+00:00,74.925,75.04,74.925,75.005,654.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.92556759048044,,46.289654223587604,3.485676457062297,False,True,False,True,False,,75.4925,73.5621875,-1,0,,,False,False,False,False,,,False,False,False,False,1657.0,51.18779021343681,False,False,False,False,330.1084460939178,False,False,False,False
2024-12-05 19:00:00+00:00,74.99,75.1,74.9,75.1,542.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.93709726873408,,46.703617062448124,3.419644593763479,False,True,False,True,False,,75.4925,73.734375,-1,0,,,False,False,False,False,,,False,False,False,False,2199.0,84.48720431865485,False,False,False,False,333.39358646455474,False,False,False,False
2024-12-05 20:00:00+00:00,75.1,75.1,74.67,74.88,879.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.92910034362711,,45.90695791237925,2.1694877316087116,False,True,False,True,False,,75.4925,73.61374999999998,-1,0,,,False,False,False,False,,,False,False,False,False,1320.0,103.64244146100128,False,False,False,False,341.85260062789496,False,False,False,False
2024-12-06 15:00:00+00:00,74.54,74.83,74.31,74.825,365.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.91321072477109,,45.06753276043966,0.9111265472925112,False,True,False,True,False,,75.4925,73.29968749999999,-1,0,,,False,False,False,False,,,False,False,False,False,955.0,116.84178345385398,False,False,False,False,342.2114750367648,False,False,False,False
2024-12-06 16:00:00+00:00,74.825,74.825,74.48,74.78,425.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.89941452407714,,44.234372577177176,-0.30585347059444246,False,True,False,True,False,,75.4925,73.35781250000001,-1,0,,,False,False,False,False,,,False,False,False,False,530.0,123.24733719875547,False,False,False,False,343.49501805945056,False,False,False,False
2024-12-06 17:00:00+00:00,74.78,74.78,74.195,74.3,101.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.73659640353668,,41.44145127381306,-3.2842332713959905,False,True,False,True,False,,75.4925,73.20593749999999,-1,0,,,False,False,False,False,,,False,False,False,False,429.0,127.98768856001507,False,False,False,False,339.7354053763583,False,False,False,False
2024-12-06 18:00:00+00:00,74.3,74.515,74.3,74.43,332.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.71927971228688,,40.41209500025341,-4.503109241345861,False,True,False,True,False,,75.4925,73.2225,-1,0,,,False,False,False,False,,,False,False,False,False,761.0,137.80183292342568,False,False,False,False,339.61547661083335,False,False,False,False
2024-12-06 19:00:00+00:00,74.45,74.54,74.42,74.54,893.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.710464550292,,40.49020034303377,-4.691350346893692,False,True,False,True,False,,75.4925,73.386875,-1,0,,,False,False,False,False,,,False,False,False,False,1654.0,161.30878125019427,False,False,False,False,348.19508162461887,False,False,False,False
2024-12-06 20:00:00+00:00,74.54,75.3,74.52,75.3,1168.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,74.81677589080509,,44.921520252125944,-4.691350346893692,False,True,False,True,True,,75.4925,73.72406249999999,-1,0,,,False,False,False,False,,,False,False,False,False,2822.0,202.55980789747807,False,False,False,False,360.9052353978806,False,False,False,False
2024-12-09 15:00:00+00:00,76.81,76.815,76.22,76.35,2571.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,75.34166729574517,,51.62945282075509,-3.698258445173373,False,True,True,False,True,,75.4925,75.1309375,1,0,,,False,False,False,False,,,False,False,False,False,5393.0,283.03174886030786,False,False,False,False,395.1702705079909,False,False,False,False
2024-12-09 16:00:00+00:00,76.35,77.45,76.18,77.38,2559.0,,,,,,77.00333333333333,-1.0,77.45,76.18,0.0,#000000,,76.03392740065544,,58.52613052747482,2.4530812084617395,True,False,True,False,True,,78.2840625,75.34593749999999,1,0,,,False,False,False,False,,,False,False,False,False,7952.0,401.930481436117,False,False,False,False,428.71801825205307,False,False,False,False
2024-12-09 17:00:00+00:00,77.21,77.305,77.15,77.2,966.0,,,,,,77.0622524822695,0.0,0.0,0.0,0.0,#000000,,76.13399967189827,,62.523606154957335,5.768533811206758,True,False,True,False,True,,78.67875000000001,75.77625,1,0,,,False,False,False,False,,,False,False,False,False,6986.0,504.0090786231539,False,False,False,False,437.0479714574476,False,False,False,False
2024-12-09 18:00:00+00:00,77.2,77.27,77.0,77.105,638.0,,,,,,77.07186884458324,0.0,0.0,0.0,0.0,#000000,,76.18207461733162,,64.87544251694513,7.638397607620938,True,False,True,False,True,,78.54499999999999,75.77625,1,0,,,False,False,False,False,,,False,False,False,False,6348.0,594.6135890320973,False,False,False,False,440.1635067836887,False,False,False,False
2024-12-09 19:00:00+00:00,77.105,77.28,76.595,77.13,2278.0,,,,,,77.04704031465094,0.0,0.0,0.0,0.0,#000000,,76.29376099879019,,66.61369387586475,9.098120541352365,True,False,True,False,True,,78.3971875,75.77625,1,0,,,False,False,False,False,,,False,False,False,False,8626.0,719.1312078067933,False,False,False,False,468.65709582580206,False,False,False,False
2024-12-09 20:00:00+00:00,77.235,77.36,77.09,77.3,4777.0,,,,,,77.13346734414928,0.0,0.0,0.0,0.0,#000000,,76.52118480474137,,68.26731835265113,10.629286386873417,True,False,True,False,True,,78.67531249999999,75.77625,1,0,,,False,False,False,False,,,False,False,False,False,13403.0,915.7803363679284,False,False,False,False,535.4531098440067,False,False,False,False
2024-12-10 15:00:00+00:00,75.56,76.4,75.56,76.06,978.0,,,,,,77.04310894282278,0.0,0.0,0.0,0.0,#000000,,76.48650306214407,,63.554855603949775,10.629286386873417,True,False,True,False,False,,77.73125,75.77625,1,0,,,False,False,False,False,,,False,False,False,False,12425.0,1094.2178505327668,False,False,False,False,542.3143019394483,False,False,False,False
2024-12-10 16:00:00+00:00,76.06,76.49,76.06,76.22,399.0,,,,,,77.01819505094615,0.0,0.0,0.0,0.0,#000000,,76.47915790677634,,60.72435342855681,10.629286386873417,True,False,True,False,False,,78.0853125,75.77625,1,0,,,False,False,False,False,,,False,False,False,False,12824.0,1276.0749381214061,False,False,False,False,540.0923747775963,False,False,False,False
2024-12-10 17:00:00+00:00,76.22,76.28,75.98,76.04,1149.0,,,,,,76.94143383779588,0.0,0.0,0.0,0.0,#000000,,76.45116007011973,,57.999157166198515,16.24492229080164,True,False,True,False,False,,77.95906249999999,75.77625,1,0,,,False,False,False,False,,,False,False,False,False,11675.0,1437.2985824916168,False,False,False,False,549.5328030756181,False,False,False,False
2024-12-10 18:00:00+00:00,76.04,76.04,75.21,75.46,2120.0,,,,,,76.75816103546813,0.0,0.0,0.0,0.0,#000000,,76.35783368231202,,54.006599998947685,12.454220079257013,False,False,False,False,False,,77.5290625,75.77625,-1,0,,,False,False,False,False,,,False,False,False,False,9555.0,1563.1544184219792,False,False,False,False,573.8811317101046,False,False,False,False
2024-12-10 19:00:00+00:00,75.46,75.46,74.88,74.88,1599.0,,,,,,76.60388974784783,0.0,0.0,0.0,0.0,#000000,,76.26634010308412,,49.47720547300623,8.20779603637584,False,True,False,True,False,,77.07593749999998,73.2640625,-1,0,,,False,False,False,False,,,False,False,False,False,7956.0,1662.268303407685,False,False,False,False,589.7744474975449,False,False,False,False
2024-12-10 20:00:00+00:00,75.005,75.075,74.135,74.32,1179.0,,,,,,76.47146318349247,0.0,0.0,0.0,0.0,#000000,,76.1803353067186,,44.88942309671051,3.956319733469684,False,True,False,True,False,,76.6225,72.5875,-1,0,,,False,False,False,False,,,False,False,False,False,6777.0,1741.5664692463254,False,False,False,False,598.9097273813039,False,False,False,False
