date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,83.76,85.37,83.0,84.94,172678
2022-01-04 00:00:00+00:00,84.68,84.79,82.61,83.76,212080
2022-01-05 00:00:00+00:00,80.55,84.88,80.25,84.41,244235
2022-01-06 00:00:00+00:00,80.81,81.75,78.45,80.19,153756
2022-01-07 00:00:00+00:00,77.76,81.76,77.74,80.33,208326
2022-01-10 00:00:00+00:00,78.78,78.91,75.11,76.73,194131
2022-01-11 00:00:00+00:00,80.65,80.9031,77.72,78.48,174413
2022-01-12 00:00:00+00:00,79.9,82.77,79.26,80.83,152899
2022-01-13 00:00:00+00:00,77.73,80.44,77.54,80.2,127148
2022-01-14 00:00:00+00:00,78.35,79.07,76.5,77.0,210826
2022-01-18 00:00:00+00:00,75.99,78.0,75.5265,76.95,298611
2022-01-19 00:00:00+00:00,75.33,77.6,75.01,76.37,206523
2022-01-20 00:00:00+00:00,74.59,77.6,74.35,75.76,334494
2022-01-21 00:00:00+00:00,73.06,75.88,73.01,74.14,399706
2022-01-24 00:00:00+00:00,75.5,75.7,69.865,71.84,316118
2022-01-25 00:00:00+00:00,73.31,75.07,72.22,74.18,190143
2022-01-26 00:00:00+00:00,72.17,75.94,71.44,74.59,167315
2022-01-27 00:00:00+00:00,68.87,73.42,68.71,73.42,315761
2022-01-28 00:00:00+00:00,70.98,70.99,67.6576,69.02,425904
2022-01-31 00:00:00+00:00,74.57,74.92,70.9,70.9,383057
2022-02-01 00:00:00+00:00,73.57,75.3,72.6,74.59,329217
2022-02-02 00:00:00+00:00,72.3,73.71,72.06,73.47,298896
2022-02-03 00:00:00+00:00,69.84,71.74,69.55,70.73,324038
2022-02-04 00:00:00+00:00,70.9,71.765,68.64,70.24,220562
2022-02-07 00:00:00+00:00,70.51,72.05,70.1,70.79,137682
2022-02-08 00:00:00+00:00,71.47,71.95,70.11,70.14,222576
2022-02-09 00:00:00+00:00,72.62,73.58,71.96,72.35,225725
2022-02-10 00:00:00+00:00,70.81,73.16,70.48,71.0,212620
2022-02-11 00:00:00+00:00,70.06,71.78,69.443,71.18,214698
2022-02-14 00:00:00+00:00,70.87,71.9,70.0,70.35,223474
2022-02-15 00:00:00+00:00,72.9,73.31,71.64,72.13,232708
2022-02-16 00:00:00+00:00,71.96,72.7,70.81,72.42,302466
2022-02-17 00:00:00+00:00,70.04,71.32,69.86,71.32,170374
2022-02-18 00:00:00+00:00,68.84,70.84,68.78,69.84,255867
2022-02-22 00:00:00+00:00,68.07,69.565,67.77,67.99,237385
2022-02-23 00:00:00+00:00,65.98,69.2499,65.825,68.43,214355
2022-02-24 00:00:00+00:00,69.05,69.435,62.8796,63.46,301837
2022-02-25 00:00:00+00:00,65.23,68.53,60.7001,65.77,431461
2022-02-28 00:00:00+00:00,65.83,66.48,64.76,64.76,426186
2022-03-01 00:00:00+00:00,66.33,68.0,64.42,66.0,396987
2022-03-02 00:00:00+00:00,68.41,68.87,66.37,67.02,366082
2022-03-03 00:00:00+00:00,67.4,68.83,66.94,68.68,275155
2022-03-04 00:00:00+00:00,65.43,67.28,64.94,67.03,408009
2022-03-07 00:00:00+00:00,64.72,66.02,63.96,66.02,327287
2022-03-08 00:00:00+00:00,64.93,66.18,64.33,64.61,359369
2022-03-09 00:00:00+00:00,66.7,67.64,66.0387,66.44,261510
2022-03-10 00:00:00+00:00,66.09,66.32,64.455,65.3,198039
2022-03-11 00:00:00+00:00,64.44,66.68,64.37,66.57,214228
2022-03-14 00:00:00+00:00,62.74,65.455,62.5,64.34,216148
2022-03-15 00:00:00+00:00,63.57,63.85,61.8201,62.85,225871
2022-03-16 00:00:00+00:00,65.19,65.35,63.4,64.21,265416
2022-03-17 00:00:00+00:00,65.94,66.29,63.07,64.77,180048
2022-03-18 00:00:00+00:00,67.69,67.76,65.66,65.97,403316
2022-03-21 00:00:00+00:00,67.72,67.965,66.79,67.5,148245
2022-03-22 00:00:00+00:00,67.67,69.24,65.03,67.67,162785
2022-03-23 00:00:00+00:00,65.26,67.11,65.1,67.11,263066
2022-03-24 00:00:00+00:00,66.48,66.68,65.28,65.91,198664
2022-03-25 00:00:00+00:00,65.26,67.08,64.53,67.08,144007
2022-03-28 00:00:00+00:00,65.93,66.4,64.78,65.04,233671
2022-03-29 00:00:00+00:00,67.99,68.31,67.0,67.0,360419
2022-03-30 00:00:00+00:00,67.28,68.53,66.9,67.52,224694
2022-03-31 00:00:00+00:00,66.46,67.72,66.32,67.13,242444
2022-04-01 00:00:00+00:00,67.26,67.495,66.36,66.42,272133
2022-04-04 00:00:00+00:00,67.98,68.19,67.21,67.37,312388
2022-04-05 00:00:00+00:00,65.99,68.24,65.59,67.78,255854
2022-04-06 00:00:00+00:00,62.66,65.18,62.47,65.18,411312
2022-04-07 00:00:00+00:00,62.15,64.09,61.4275,62.43,310864
2022-04-08 00:00:00+00:00,61.26,62.585,61.06,62.0,269362
2022-04-11 00:00:00+00:00,61.06,61.825,60.36,60.94,228272
2022-04-12 00:00:00+00:00,61.19,63.11,61.0301,62.12,329015
2022-04-13 00:00:00+00:00,61.67,62.18,60.62,61.03,434814
2022-04-14 00:00:00+00:00,59.14,62.11,59.07,62.02,242646
2022-04-18 00:00:00+00:00,58.6,59.4,57.88,59.15,288750
2022-04-19 00:00:00+00:00,60.15,60.53,58.14,58.14,236222
2022-04-20 00:00:00+00:00,59.99,61.57,59.97,61.06,170517
2022-04-21 00:00:00+00:00,60.64,61.995,59.335,60.62,412024
2022-04-22 00:00:00+00:00,60.45,61.93,59.72,60.62,462922
2022-04-25 00:00:00+00:00,61.9,62.12,60.21,60.22,405993
2022-04-26 00:00:00+00:00,61.07,61.93,60.22,61.35,376726
2022-04-27 00:00:00+00:00,59.93,61.74,59.54,60.88,500089
2022-04-28 00:00:00+00:00,61.76,62.3999,59.73,60.44,260541
2022-04-29 00:00:00+00:00,61.08,62.53,60.8,61.59,307126
2022-05-02 00:00:00+00:00,62.29,62.55,60.7,61.01,276099
2022-05-03 00:00:00+00:00,62.26,62.66,61.62,62.17,308686
2022-05-04 00:00:00+00:00,63.98,64.25,60.3897,62.35,293850
2022-05-05 00:00:00+00:00,60.16,63.0,59.46,62.92,512055
2022-05-06 00:00:00+00:00,57.03,59.335,56.32,58.56,404256
2022-05-09 00:00:00+00:00,56.01,56.79,55.02,55.87,254752
2022-05-10 00:00:00+00:00,57.79,59.15,55.46,57.34,431484
2022-05-11 00:00:00+00:00,55.67,58.57,55.19,57.3,358081
2022-05-12 00:00:00+00:00,57.29,57.29,54.99,55.02,318737
2022-05-13 00:00:00+00:00,59.1,60.05,57.85,57.9,289617
2022-05-16 00:00:00+00:00,57.31,59.12,57.14,58.63,386151
2022-05-17 00:00:00+00:00,59.78,59.83,57.725,58.19,458817
2022-05-18 00:00:00+00:00,59.42,60.0,58.3001,58.57,578589
2022-05-19 00:00:00+00:00,61.11,61.97,59.43,59.43,307171
2022-05-20 00:00:00+00:00,61.91,62.0,60.75,61.71,302039
2022-05-23 00:00:00+00:00,62.16,62.83,61.19,61.99,279335
2022-05-24 00:00:00+00:00,62.59,63.03,60.51,61.56,281636
2022-05-25 00:00:00+00:00,62.8,63.7081,62.16,62.35,265784
2022-05-26 00:00:00+00:00,65.19,65.365,62.6006,62.94,418810
2022-05-27 00:00:00+00:00,65.44,66.55,65.03,65.98,208808
2022-05-31 00:00:00+00:00,63.23,65.44,62.36,64.95,402426
2022-06-01 00:00:00+00:00,63.44,64.48,62.445,63.85,191723
2022-06-02 00:00:00+00:00,66.04,66.36,63.32,63.32,154535
2022-06-03 00:00:00+00:00,65.12,65.99,64.52,65.4,250106
2022-06-06 00:00:00+00:00,64.74,65.8,64.3,65.62,139309
2022-06-07 00:00:00+00:00,64.6,65.09,63.74,63.74,155105
2022-06-08 00:00:00+00:00,63.3,64.82,63.2,64.47,146985
2022-06-09 00:00:00+00:00,62.28,63.42,61.74,62.78,162139
2022-06-10 00:00:00+00:00,61.32,61.865,60.72,60.78,188579
2022-06-13 00:00:00+00:00,59.5,60.44,58.93,59.44,408440
2022-06-14 00:00:00+00:00,58.87,59.73,57.96,59.59,182721
2022-06-15 00:00:00+00:00,59.95,60.65,59.0,59.02,270943
2022-06-16 00:00:00+00:00,58.15,58.8,57.27,58.75,266940
2022-06-17 00:00:00+00:00,60.71,60.92,58.89,58.9,572329
2022-06-21 00:00:00+00:00,60.15,61.98,59.765,61.21,202589
2022-06-22 00:00:00+00:00,60.14,60.8,59.56,59.87,233569
2022-06-23 00:00:00+00:00,61.66,61.81,59.94,60.47,136545
2022-06-24 00:00:00+00:00,64.06,64.07,62.37,62.37,337226
2022-06-27 00:00:00+00:00,63.22,64.435,63.175,64.14,111395
2022-06-28 00:00:00+00:00,61.66,63.58,61.6,63.23,130417
2022-06-29 00:00:00+00:00,61.32,61.9,60.425,61.7,177137
2022-06-30 00:00:00+00:00,61.86,62.02,59.725,60.66,243714
2022-07-01 00:00:00+00:00,62.38,63.01,61.16,61.64,207713
2022-07-05 00:00:00+00:00,63.2,63.22,60.81,61.55,247525
2022-07-06 00:00:00+00:00,63.17,63.867,62.89,63.37,87455
2022-07-07 00:00:00+00:00,65.24,65.78,63.39,63.7,161470
2022-07-08 00:00:00+00:00,65.09,65.545,63.95,64.64,108349
2022-07-11 00:00:00+00:00,64.33,64.735,63.58,64.4,119217
2022-07-12 00:00:00+00:00,65.09,65.635,63.8,64.51,461537
2022-07-13 00:00:00+00:00,64.15,64.555,62.57,64.21,233281
2022-07-14 00:00:00+00:00,64.37,64.515,62.66,63.6,138646
2022-07-15 00:00:00+00:00,66.24,66.25,64.2,65.73,181311
2022-07-18 00:00:00+00:00,65.29,66.93,65.162,66.55,140830
2022-07-19 00:00:00+00:00,67.53,68.01,65.88,65.9,234202
2022-07-20 00:00:00+00:00,69.14,69.26,67.8,67.8,181049
2022-07-21 00:00:00+00:00,71.11,71.13,68.68,69.5,204214
2022-07-22 00:00:00+00:00,69.95,71.4854,69.39,70.9,170761
2022-07-25 00:00:00+00:00,68.61,69.84,68.375,69.84,153004
2022-07-26 00:00:00+00:00,66.93,68.75,66.81,68.23,132483
2022-07-27 00:00:00+00:00,68.81,69.57,67.2,67.42,123626
2022-07-28 00:00:00+00:00,70.32,70.34,68.67,68.84,102880
2022-07-29 00:00:00+00:00,70.77,70.85,69.1,70.62,210975
2022-08-01 00:00:00+00:00,70.46,71.73,69.57,70.38,174196
2022-08-02 00:00:00+00:00,70.3,70.875,69.84,70.04,140199
2022-08-03 00:00:00+00:00,72.09,72.475,70.61,70.61,222468
2022-08-04 00:00:00+00:00,72.87,73.015,71.42,72.05,139633
2022-08-05 00:00:00+00:00,72.7,73.18,71.72,71.89,125426
2022-08-08 00:00:00+00:00,73.2,74.045,72.6561,72.82,143089
2022-08-09 00:00:00+00:00,72.04,72.96,71.54,72.84,245586
2022-08-10 00:00:00+00:00,75.86,78.99,74.16,77.42,404686
2022-08-11 00:00:00+00:00,75.32,76.96,74.56,76.96,132726
2022-08-12 00:00:00+00:00,76.79,76.81,74.6618,75.57,176713
2022-08-15 00:00:00+00:00,76.37,76.89,75.76,76.33,173310
2022-08-16 00:00:00+00:00,76.38,76.52,75.23,75.75,153279
2022-08-17 00:00:00+00:00,75.0,76.28,74.85,75.4,125414
2022-08-18 00:00:00+00:00,74.68,75.36,74.4895,74.97,167523
2022-08-19 00:00:00+00:00,73.13,74.15,73.02,74.15,112509
2022-08-22 00:00:00+00:00,71.33,72.54,71.04,72.54,136301
2022-08-23 00:00:00+00:00,69.77,71.805,69.56,70.82,174932
2022-08-24 00:00:00+00:00,68.33,70.38,68.13,69.7,196957
2022-08-25 00:00:00+00:00,69.3,69.47,68.18,68.83,212584
2022-08-26 00:00:00+00:00,67.44,69.77,67.38,69.77,139317
2022-08-29 00:00:00+00:00,66.89,67.92,66.39,66.54,144653
2022-08-30 00:00:00+00:00,66.85,67.89,66.245,67.29,146310
2022-08-31 00:00:00+00:00,66.6,67.605,66.24,67.45,213255
2022-09-01 00:00:00+00:00,67.0,67.07,65.02,66.19,197642
2022-09-02 00:00:00+00:00,66.31,69.03,65.6,67.99,147518
2022-09-06 00:00:00+00:00,68.47,69.3,66.97,67.07,280942
2022-09-07 00:00:00+00:00,69.72,69.83,68.565,69.04,259771
2022-09-08 00:00:00+00:00,70.72,71.415,68.6,69.09,195313
2022-09-09 00:00:00+00:00,70.78,71.85,70.58,71.18,174687
2022-09-12 00:00:00+00:00,71.17,71.67,70.1691,70.93,173405
2022-09-13 00:00:00+00:00,68.15,70.0,68.0,69.57,195273
2022-09-14 00:00:00+00:00,69.72,69.75,67.79,68.09,314420
2022-09-15 00:00:00+00:00,67.91,71.12,67.68,69.31,198312
2022-09-16 00:00:00+00:00,66.81,67.55,66.14,66.85,1044406
2022-09-19 00:00:00+00:00,66.96,67.12,65.935,66.24,198087
2022-09-20 00:00:00+00:00,65.93,66.7,65.29,66.7,154601
2022-09-21 00:00:00+00:00,65.25,67.08,65.23,66.19,257410
2022-09-22 00:00:00+00:00,63.78,65.0,62.96,64.71,249343
2022-09-23 00:00:00+00:00,63.58,63.7,61.97,63.13,251227
2022-09-26 00:00:00+00:00,64.54,65.075,63.64,63.64,257496
2022-09-27 00:00:00+00:00,64.38,65.96,63.27,65.14,198728
2022-09-28 00:00:00+00:00,65.39,65.77,63.95,64.52,206694
2022-09-29 00:00:00+00:00,64.92,64.93,63.82,64.8,176253
2022-09-30 00:00:00+00:00,64.86,66.46,64.58,64.92,252696
2022-10-03 00:00:00+00:00,65.96,66.105,64.55,65.21,233757
2022-10-04 00:00:00+00:00,65.96,67.22,65.87,66.97,267974
2022-10-05 00:00:00+00:00,65.23,65.525,64.5,65.1,258180
2022-10-06 00:00:00+00:00,64.61,66.1,64.5,65.21,233785
2022-10-07 00:00:00+00:00,62.08,64.045,61.89,64.0,300522
2022-10-10 00:00:00+00:00,61.71,63.63,61.1101,61.88,155648
2022-10-11 00:00:00+00:00,60.5,61.42,59.55,61.27,298906
2022-10-12 00:00:00+00:00,60.61,60.91,59.7,60.38,181102
2022-10-13 00:00:00+00:00,61.55,61.905,58.73,59.4,176446
2022-10-14 00:00:00+00:00,60.1,62.375,59.885,61.84,141682
2022-10-17 00:00:00+00:00,62.55,62.86,61.3,61.3,155036
2022-10-18 00:00:00+00:00,64.09,64.45,62.67,63.62,201106
2022-10-19 00:00:00+00:00,63.42,64.02,62.57,63.31,211773
2022-10-20 00:00:00+00:00,63.82,65.3125,63.21,63.94,175860
2022-10-21 00:00:00+00:00,64.45,64.89,62.68,63.85,155116
2022-10-24 00:00:00+00:00,64.71,65.17,63.67,64.93,114531
2022-10-25 00:00:00+00:00,65.65,66.395,65.03,65.15,194068
2022-10-26 00:00:00+00:00,65.5,66.85,65.095,65.51,175074
2022-10-27 00:00:00+00:00,67.49,67.665,65.83,65.83,174862
2022-10-28 00:00:00+00:00,60.93,67.33,60.0,67.01,541982
2022-10-31 00:00:00+00:00,58.84,60.33,58.29,60.32,390461
2022-11-01 00:00:00+00:00,58.74,59.86,58.24,59.53,247758
2022-11-02 00:00:00+00:00,56.16,58.55,56.1,58.42,319819
2022-11-03 00:00:00+00:00,55.52,56.73,55.13,55.59,203714
2022-11-04 00:00:00+00:00,56.12,56.33,54.58,55.97,235611
2022-11-07 00:00:00+00:00,55.63,56.38,54.805,56.12,225605
2022-11-08 00:00:00+00:00,55.89,56.51,54.87,55.59,227717
2022-11-09 00:00:00+00:00,47.82,52.345,47.16,50.34,538290
2022-11-10 00:00:00+00:00,55.04,55.58,49.78,50.31,698741
2022-11-11 00:00:00+00:00,56.83,57.37,54.7663,55.66,259542
2022-11-14 00:00:00+00:00,54.4,56.32,53.655,56.32,340642
2022-11-15 00:00:00+00:00,53.99,55.89,53.96,55.63,413255
2022-11-16 00:00:00+00:00,52.52,53.55,51.83,53.55,362784
2022-11-17 00:00:00+00:00,51.0,52.015,50.87,51.47,262693
2022-11-18 00:00:00+00:00,50.0,52.09,49.93,52.09,402452
2022-11-21 00:00:00+00:00,49.54,49.82,48.9,49.76,504721
2022-11-22 00:00:00+00:00,49.4,49.71,48.55,49.71,384974
2022-11-23 00:00:00+00:00,49.28,50.105,48.725,49.21,315715
2022-11-25 00:00:00+00:00,48.82,49.7,48.66,49.22,118487
2022-11-28 00:00:00+00:00,47.5,48.49,47.23,48.37,415169
2022-11-29 00:00:00+00:00,48.0,48.56,47.52,47.62,325953
2022-11-30 00:00:00+00:00,49.9,50.09,47.48,47.97,467430
2022-12-01 00:00:00+00:00,49.89,51.2,48.975,49.9,315720
2022-12-02 00:00:00+00:00,50.18,50.83,47.7619,49.1,270289
2022-12-05 00:00:00+00:00,48.69,49.72,48.16,49.72,245226
2022-12-06 00:00:00+00:00,48.55,49.2,47.76,48.78,260144
2022-12-07 00:00:00+00:00,48.79,49.13,48.15,48.5,248211
2022-12-08 00:00:00+00:00,49.49,49.93,48.36,48.86,254541
2022-12-09 00:00:00+00:00,50.33,50.43,49.02,49.19,192423
2022-12-12 00:00:00+00:00,51.48,51.59,50.52,50.57,215812
2022-12-13 00:00:00+00:00,52.29,53.97,51.93,53.23,296076
2022-12-14 00:00:00+00:00,51.66,53.0,51.36,52.0,286953
2022-12-15 00:00:00+00:00,49.32,51.5506,49.1,51.36,285838
2022-12-16 00:00:00+00:00,50.25,50.58,48.69,48.97,573335
2022-12-19 00:00:00+00:00,49.07,50.45,48.65,50.25,219889
2022-12-20 00:00:00+00:00,49.14,49.34,48.4,48.84,132812
2022-12-21 00:00:00+00:00,49.97,50.32,49.01,49.3,167037
2022-12-22 00:00:00+00:00,49.32,50.12,48.28,49.33,200394
2022-12-23 00:00:00+00:00,48.96,49.26,48.33,49.26,157295
2022-12-27 00:00:00+00:00,48.02,48.9099,47.92,48.9,125010
2022-12-28 00:00:00+00:00,47.13,48.56,46.94,47.92,200429
2022-12-29 00:00:00+00:00,49.82,50.065,47.7,47.78,223826
2022-12-30 00:00:00+00:00,49.48,49.59,48.76,49.1,151047
2023-01-03 00:00:00+00:00,49.28,50.97,48.695,49.99,242313
2023-01-04 00:00:00+00:00,49.31,50.255,49.11,49.93,266063
2023-01-05 00:00:00+00:00,48.29,49.23,47.73,48.7,229678
2023-01-06 00:00:00+00:00,50.33,50.38,47.63,48.74,211864
2023-01-09 00:00:00+00:00,51.67,52.52,51.0,51.0,288954
2023-01-10 00:00:00+00:00,51.56,51.815,50.54,51.63,240879
2023-01-11 00:00:00+00:00,52.01,52.73,51.56,51.75,193840
2023-01-12 00:00:00+00:00,52.88,52.95,51.3842,52.45,165512
2023-01-13 00:00:00+00:00,52.53,52.81,52.02,52.15,137845
2023-01-17 00:00:00+00:00,52.2,52.71,51.405,52.5,146138
2023-01-18 00:00:00+00:00,51.69,53.35,51.55,52.6,181172
2023-01-19 00:00:00+00:00,50.9,51.8,50.655,51.75,184135
2023-01-20 00:00:00+00:00,50.98,51.56,50.27,51.56,183579
2023-01-23 00:00:00+00:00,52.27,52.38,50.74,51.15,128271
