date,Open,High,Low,Close,Volume
2025-07-07 13:30:00+00:00,4.93,4.93,4.93,4.93,100.0
2025-07-07 13:35:00+00:00,4.93,4.93,4.93,4.93,0.0
2025-07-07 13:40:00+00:00,4.93,4.93,4.86,4.865,90.0
2025-07-07 13:45:00+00:00,4.86,4.87,4.84,4.855,200.0
2025-07-07 13:50:00+00:00,4.855,4.875,4.85,4.86,357.0
2025-07-07 13:55:00+00:00,4.855,4.895,4.85,4.895,104.0
2025-07-07 14:00:00+00:00,4.895,4.955,4.88,4.95,2.0
2025-07-07 14:05:00+00:00,4.95,5.0,4.95,4.985,20.0
2025-07-07 14:10:00+00:00,4.985,4.985,4.955,4.98,463.0
2025-07-07 14:15:00+00:00,4.985,5.0,4.985,5.0,86.0
2025-07-07 14:20:00+00:00,5.0,5.01,4.97,4.98,310.0
2025-07-07 14:25:00+00:00,4.98,4.98,4.93,4.93,132.0
2025-07-07 14:30:00+00:00,4.93,4.945,4.91,4.92,243.0
2025-07-07 14:35:00+00:00,4.92,4.93,4.91,4.92,114.0
2025-07-07 14:40:00+00:00,4.92,4.94,4.92,4.94,105.0
2025-07-07 14:45:00+00:00,4.94,4.94,4.93,4.935,100.0
2025-07-07 14:50:00+00:00,4.92,4.93,4.91,4.92,135.0
2025-07-07 14:55:00+00:00,4.92,4.92,4.89,4.89,45.0
2025-07-07 15:00:00+00:00,4.875,4.905,4.865,4.9,508.0
2025-07-07 15:05:00+00:00,4.9,4.9,4.88,4.88,6.0
2025-07-07 15:10:00+00:00,4.87,4.89,4.87,4.885,72.0
2025-07-07 15:15:00+00:00,4.895,4.895,4.875,4.875,105.0
2025-07-07 15:20:00+00:00,4.865,4.89,4.86,4.88,141.0
2025-07-07 15:25:00+00:00,4.88,4.88,4.86,4.865,2.0
2025-07-07 15:30:00+00:00,4.865,4.89,4.865,4.88,559.0
2025-07-07 15:35:00+00:00,4.88,4.88,4.88,4.88,314.0
2025-07-07 15:40:00+00:00,4.88,4.88,4.875,4.875,1292.0
2025-07-07 15:45:00+00:00,4.865,4.87,4.855,4.855,0.0
