date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,69.0,71.25,65.605,65.605,6089
2022-01-04 00:00:00+00:00,65.75,69.675,63.75,68.5,4632
2022-01-05 00:00:00+00:00,62.5,66.7975,62.5,64.75,5834
2022-01-06 00:00:00+00:00,64.0,64.625,60.0,63.25,6404
2022-01-07 00:00:00+00:00,64.75,65.75,62.5,64.5,3270
2022-01-10 00:00:00+00:00,66.0,68.0,62.75,64.5,4285
2022-01-11 00:00:00+00:00,67.75,70.0,65.75,66.0,3705
2022-01-12 00:00:00+00:00,65.0,68.75,63.75,67.0,3877
2022-01-13 00:00:00+00:00,63.125,67.5,62.5,65.0,6276
2022-01-14 00:00:00+00:00,65.5,66.25,62.5,62.5,6503
2022-01-18 00:00:00+00:00,62.25,65.75,61.1,65.5,4014
2022-01-19 00:00:00+00:00,62.75,63.0,60.25,61.75,4554
2022-01-20 00:00:00+00:00,62.25,65.5,61.2525,63.0,4250
2022-01-21 00:00:00+00:00,58.5,62.25,56.0,61.25,8442
2022-01-24 00:00:00+00:00,58.75,59.25,51.75,56.5,8316
2022-01-25 00:00:00+00:00,57.25,59.75,56.75,57.0,3001
2022-01-26 00:00:00+00:00,57.0,59.75,53.75,56.75,5712
2022-01-27 00:00:00+00:00,56.0,57.75,52.5,56.5,6556
2022-01-28 00:00:00+00:00,53.75,56.25,52.5,56.25,2943
2022-01-31 00:00:00+00:00,52.0,56.5,51.75,53.75,4445
2022-02-01 00:00:00+00:00,56.25,56.75,51.2525,54.0,6097
2022-02-02 00:00:00+00:00,55.0,57.75,53.0,56.25,2026
2022-02-03 00:00:00+00:00,53.0,54.75,51.5,54.5,2495
2022-02-04 00:00:00+00:00,60.0,60.0,52.125,52.5,2957
2022-02-07 00:00:00+00:00,58.75,61.75,57.5,59.75,2118
2022-02-08 00:00:00+00:00,60.0,60.0,56.925,59.0,1878
2022-02-09 00:00:00+00:00,61.0,65.5,58.75,64.75,6864
2022-02-10 00:00:00+00:00,63.0,63.0,55.5,59.5,10145
2022-02-11 00:00:00+00:00,54.25,61.85,53.5,59.75,13053
2022-02-14 00:00:00+00:00,53.75,56.2475,53.5,55.75,2138
2022-02-15 00:00:00+00:00,54.5,55.25,52.75,54.75,3777
2022-02-16 00:00:00+00:00,54.0,55.0,51.75,55.0,3040
2022-02-17 00:00:00+00:00,54.0,58.3125,52.25,54.25,2633
2022-02-18 00:00:00+00:00,51.25,55.25,50.0,54.0,9817
2022-02-22 00:00:00+00:00,49.5,52.0,49.5,52.0,1878
2022-02-23 00:00:00+00:00,50.0,51.5,49.0,51.0,2371
2022-02-24 00:00:00+00:00,54.5,54.5,49.2725,50.0,4257
2022-02-25 00:00:00+00:00,52.0,55.5,51.25,55.0,2339
2022-02-28 00:00:00+00:00,51.5,54.0,49.75,52.5,5798
2022-03-01 00:00:00+00:00,50.5,52.5,50.0,52.25,1224
2022-03-02 00:00:00+00:00,50.25,51.25,47.5,50.25,6684
2022-03-03 00:00:00+00:00,48.75,50.25,47.5,49.5,3958
2022-03-04 00:00:00+00:00,47.0,53.0,44.25,46.25,11578
2022-03-07 00:00:00+00:00,46.5,49.25,46.01,46.25,8555
2022-03-08 00:00:00+00:00,47.5,49.0,46.25,48.25,4888
2022-03-09 00:00:00+00:00,45.75,48.25,45.75,47.5,2445
2022-03-10 00:00:00+00:00,45.0,47.245,44.25,45.9875,2316
2022-03-11 00:00:00+00:00,46.75,47.75,44.75,45.0625,3264
2022-03-14 00:00:00+00:00,45.0,48.25,45.0,47.75,1848
2022-03-15 00:00:00+00:00,45.75,47.245,44.75,44.75,2767
2022-03-16 00:00:00+00:00,47.75,48.75,45.0,45.0,1861
2022-03-17 00:00:00+00:00,48.25,50.5,47.75,48.75,2294
2022-03-18 00:00:00+00:00,47.0,49.5,47.0,48.0,2226
2022-03-21 00:00:00+00:00,50.0,52.5,47.5,47.5,3167
2022-03-22 00:00:00+00:00,51.5,52.5,50.25,51.0,2014
2022-03-23 00:00:00+00:00,53.0,54.0,50.005,50.75,2346
