date,Open,High,Low,Close,Volume
2025-01-06 14:30:00+00:00,3.55,3.665,3.315,3.605,13426.0
2025-01-06 14:45:00+00:00,3.58,3.81,3.57,3.775,4472.0
2025-01-06 15:00:00+00:00,3.76,3.91,3.75,3.91,8440.0
2025-01-06 15:15:00+00:00,3.91,3.97,3.79,3.815,9300.0
2025-01-06 15:30:00+00:00,3.82,3.98,3.81,3.95,14624.0
2025-01-06 15:45:00+00:00,3.96,3.96,3.75,3.84,9069.0
2025-01-06 16:00:00+00:00,3.845,3.955,3.845,3.955,13351.0
2025-01-06 16:15:00+00:00,3.95,3.975,3.94,3.97,9885.0
2025-01-06 16:30:00+00:00,3.975,4.145,3.93,4.09,11078.0
2025-01-06 16:45:00+00:00,4.095,4.135,3.97,4.1,4839.0
2025-01-06 17:00:00+00:00,4.09,4.14,4.06,4.09,5726.0
2025-01-06 17:15:00+00:00,4.09,4.12,4.01,4.09,4959.0
2025-01-06 17:30:00+00:00,4.09,4.095,3.97,4.09,5591.0
2025-01-06 17:45:00+00:00,4.09,4.11,3.98,4.085,5310.0
2025-01-06 18:00:00+00:00,4.09,4.09,4.005,4.04,1989.0
2025-01-06 18:15:00+00:00,4.055,4.06,3.89,3.905,4989.0
2025-01-06 18:30:00+00:00,3.91,3.99,3.91,3.98,5478.0
2025-01-06 18:45:00+00:00,3.98,3.98,3.86,3.865,2457.0
2025-01-06 19:00:00+00:00,3.87,3.89,3.83,3.89,5065.0
2025-01-06 19:15:00+00:00,3.895,3.965,3.88,3.94,2700.0
2025-01-06 19:30:00+00:00,3.94,3.985,3.935,3.96,2723.0
2025-01-06 19:45:00+00:00,3.96,3.985,3.83,3.835,9823.0
2025-01-06 20:00:00+00:00,3.845,3.865,3.75,3.83,7723.0
2025-01-06 20:15:00+00:00,3.83,3.83,3.765,3.765,7245.0
2025-01-06 20:30:00+00:00,3.765,3.79,3.73,3.76,11516.0
2025-01-06 20:45:00+00:00,3.76,3.835,3.73,3.82,10779.0
2025-01-07 14:30:00+00:00,3.98,4.2,3.91,3.91,7173.0
2025-01-07 14:45:00+00:00,3.91,4.085,3.91,3.965,5402.0
2025-01-07 15:00:00+00:00,3.95,3.95,3.77,3.78,7630.0
2025-01-07 15:15:00+00:00,3.78,3.785,3.68,3.72,2146.0
2025-01-07 15:30:00+00:00,3.72,3.725,3.555,3.615,2240.0
2025-01-07 15:45:00+00:00,3.615,3.76,3.61,3.7,4480.0
2025-01-07 16:00:00+00:00,3.7,3.73,3.64,3.66,1856.0
2025-01-07 16:15:00+00:00,3.655,3.67,3.61,3.63,949.0
2025-01-07 16:30:00+00:00,3.63,3.65,3.575,3.58,1267.0
2025-01-07 16:45:00+00:00,3.58,3.585,3.44,3.465,2933.0
2025-01-07 17:00:00+00:00,3.465,3.495,3.435,3.485,6762.0
2025-01-07 17:15:00+00:00,3.485,3.495,3.425,3.445,2091.0
2025-01-07 17:30:00+00:00,3.445,3.475,3.445,3.445,1396.0
2025-01-07 17:45:00+00:00,3.445,3.555,3.435,3.53,709.0
2025-01-07 18:00:00+00:00,3.55,3.56,3.53,3.535,218.0
2025-01-07 18:15:00+00:00,3.535,3.545,3.51,3.515,15.0
2025-01-07 18:30:00+00:00,3.51,3.52,3.5,3.51,315.0
2025-01-07 18:45:00+00:00,3.51,3.525,3.465,3.465,610.0
2025-01-07 19:00:00+00:00,3.465,3.495,3.44,3.475,800.0
2025-01-07 19:15:00+00:00,3.475,3.485,3.455,3.485,553.0
2025-01-07 19:30:00+00:00,3.48,3.505,3.475,3.495,400.0
2025-01-07 19:45:00+00:00,3.495,3.52,3.49,3.495,478.0
2025-01-07 20:00:00+00:00,3.5,3.5,3.46,3.465,434.0
2025-01-07 20:15:00+00:00,3.465,3.465,3.45,3.455,395.0
2025-01-07 20:30:00+00:00,3.455,3.5,3.445,3.5,2176.0
2025-01-07 20:45:00+00:00,3.495,3.59,3.495,3.555,10558.0
2025-01-08 14:30:00+00:00,3.565,3.565,3.4,3.425,5710.0
2025-01-08 14:45:00+00:00,3.43,3.43,3.17,3.21,9067.0
2025-01-08 15:00:00+00:00,3.205,3.29,3.155,3.175,1527.0
2025-01-08 15:15:00+00:00,3.175,3.24,3.1,3.23,3369.0
2025-01-08 15:30:00+00:00,3.225,3.29,3.205,3.225,1034.0
2025-01-08 15:45:00+00:00,3.22,3.245,3.19,3.215,666.0
2025-01-08 16:00:00+00:00,3.215,3.22,3.175,3.185,203.0
2025-01-08 16:15:00+00:00,3.185,3.215,3.18,3.2,2037.0
2025-01-08 16:30:00+00:00,3.2,3.205,3.125,3.16,932.0
2025-01-08 16:45:00+00:00,3.16,3.24,3.155,3.2,804.0
2025-01-08 17:00:00+00:00,3.205,3.25,3.155,3.155,122.0
2025-01-08 17:15:00+00:00,3.155,3.155,3.07,3.075,420.0
2025-01-08 17:30:00+00:00,3.07,3.09,3.025,3.09,2953.0
2025-01-08 17:45:00+00:00,3.085,3.12,3.05,3.1,200.0
2025-01-08 18:00:00+00:00,3.095,3.175,3.095,3.165,739.0
2025-01-08 18:15:00+00:00,3.165,3.205,3.16,3.17,326.0
2025-01-08 18:30:00+00:00,3.17,3.175,3.14,3.15,300.0
2025-01-08 18:45:00+00:00,3.15,3.15,3.11,3.12,146.0
2025-01-08 19:00:00+00:00,3.12,3.155,3.09,3.105,440.0
2025-01-08 19:15:00+00:00,3.105,3.175,3.085,3.155,1164.0
2025-01-08 19:30:00+00:00,3.155,3.155,3.12,3.12,2025.0
2025-01-08 19:45:00+00:00,3.12,3.125,3.085,3.1,181.0
2025-01-08 20:00:00+00:00,3.095,3.1,3.085,3.085,30.0
2025-01-08 20:15:00+00:00,3.065,3.085,2.875,2.92,5585.0
2025-01-08 20:30:00+00:00,2.92,2.97,2.92,2.965,2668.0
2025-01-08 20:45:00+00:00,2.965,3.03,2.965,3.03,8060.0
2025-01-09 14:30:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 14:45:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 15:00:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 15:15:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 15:30:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 15:45:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 16:00:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 16:15:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 16:30:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 16:45:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 17:00:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 17:15:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 17:30:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 17:45:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 18:00:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 18:15:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 18:30:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 18:45:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 19:00:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 19:15:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 19:30:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 19:45:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 20:00:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 20:15:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 20:30:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-09 20:45:00+00:00,3.03,3.03,3.03,3.03,0.0
2025-01-10 14:30:00+00:00,3.22,3.625,3.22,3.625,18453.0
2025-01-10 14:45:00+00:00,3.625,3.86,3.6,3.805,14284.0
2025-01-10 15:00:00+00:00,3.81,3.88,3.58,3.795,8283.0
2025-01-10 15:15:00+00:00,3.795,3.895,3.705,3.875,10714.0
2025-01-10 15:30:00+00:00,3.875,4.14,3.84,4.07,23333.0
2025-01-10 15:45:00+00:00,4.065,4.125,3.875,3.885,11481.0
2025-01-10 16:00:00+00:00,3.89,3.995,3.82,3.825,13861.0
2025-01-10 16:15:00+00:00,3.825,3.975,3.815,3.935,10327.0
2025-01-10 16:30:00+00:00,3.94,3.995,3.89,3.95,15192.0
2025-01-10 16:45:00+00:00,3.945,4.07,3.865,3.87,11630.0
2025-01-10 17:00:00+00:00,3.88,3.925,3.83,3.915,3797.0
2025-01-10 17:15:00+00:00,3.915,3.965,3.855,3.94,7528.0
2025-01-10 17:30:00+00:00,3.94,4.0,3.9,3.935,8593.0
2025-01-10 17:45:00+00:00,3.94,4.0,3.935,3.965,3995.0
2025-01-10 18:00:00+00:00,3.965,3.965,3.845,3.895,3266.0
2025-01-10 18:15:00+00:00,3.895,3.935,3.88,3.92,2839.0
2025-01-10 18:30:00+00:00,3.92,3.925,3.845,3.89,3434.0
2025-01-10 18:45:00+00:00,3.89,3.91,3.845,3.845,4264.0
2025-01-10 19:00:00+00:00,3.845,3.845,3.745,3.805,3459.0
2025-01-10 19:15:00+00:00,3.805,3.81,3.78,3.805,2917.0
2025-01-10 19:30:00+00:00,3.805,3.84,3.71,3.74,5190.0
2025-01-10 19:45:00+00:00,3.74,3.76,3.7,3.715,8894.0
2025-01-10 20:00:00+00:00,3.715,3.755,3.68,3.69,4213.0
2025-01-10 20:15:00+00:00,3.69,3.755,3.67,3.745,3625.0
2025-01-10 20:30:00+00:00,3.745,3.76,3.635,3.655,8773.0
2025-01-10 20:45:00+00:00,3.655,3.655,3.565,3.58,18934.0
2025-01-13 14:30:00+00:00,3.58,3.58,3.58,3.58,0.0
2025-01-13 14:45:00+00:00,3.58,3.58,3.58,3.58,0.0
2025-01-13 15:00:00+00:00,3.58,3.58,3.58,3.58,0.0
2025-01-13 15:15:00+00:00,3.58,3.58,3.58,3.58,0.0
2025-01-13 15:30:00+00:00,3.58,3.58,3.58,3.58,0.0
2025-01-13 15:45:00+00:00,3.58,3.58,3.58,3.58,0.0
2025-01-13 16:00:00+00:00,3.58,3.58,3.58,3.58,0.0
2025-01-13 16:15:00+00:00,3.58,3.58,3.1,3.1,5256.0
2025-01-13 16:30:00+00:00,3.1,3.1,3.035,3.075,2423.0
2025-01-13 16:45:00+00:00,3.075,3.095,3.03,3.055,1483.0
2025-01-13 17:00:00+00:00,3.055,3.14,3.045,3.135,230.0
2025-01-13 17:15:00+00:00,3.135,3.17,3.13,3.16,1138.0
