date,Close,High,Low,Open,Volume
2022-09-23 00:00:00+00:00,7.3,7.64,6.0,6.0,3344500
2022-09-26 00:00:00+00:00,8.45,8.5,7.4,7.7,1415600
2022-09-27 00:00:00+00:00,8.12,8.844,8.0,8.6,840600
2022-09-28 00:00:00+00:00,7.6,8.5,7.26,8.24,1088800
2022-09-29 00:00:00+00:00,6.76,7.28,6.18,7.28,1061000
2022-09-30 00:00:00+00:00,6.3,7.2,6.26,6.75,722500
2022-10-03 00:00:00+00:00,7.0,7.44,5.54,6.39,1788600
2022-10-04 00:00:00+00:00,8.3,8.5,7.1,7.3,11465698
2022-10-05 00:00:00+00:00,12.25,12.56,8.25,8.65,16067486
2022-10-06 00:00:00+00:00,13.18,14.34,11.08,12.71,9684872
2022-10-07 00:00:00+00:00,12.89,13.6,12.75,13.3599,2096001
2022-10-10 00:00:00+00:00,10.94,12.51,10.33,12.5,1958973
2022-10-11 00:00:00+00:00,11.79,12.0,11.0,11.05,976788
2022-10-12 00:00:00+00:00,11.09,12.6938,10.82,12.21,1261298
2022-10-13 00:00:00+00:00,11.0,11.48,10.7,10.73,798682
2022-10-14 00:00:00+00:00,10.88,11.25,10.59,11.11,740307
2022-10-17 00:00:00+00:00,10.35,11.45,10.11,11.24,807142
2022-10-18 00:00:00+00:00,10.48,10.79,9.9601,10.28,736009
2022-10-19 00:00:00+00:00,12.4,12.645,9.45,9.78,2219314
2022-10-20 00:00:00+00:00,11.96,14.29,11.77,12.15,2228749
2022-10-21 00:00:00+00:00,14.08,15.33,12.71,13.01,10767088
2022-10-24 00:00:00+00:00,14.55,15.45,13.8,13.99,3972796
2022-10-25 00:00:00+00:00,14.41,14.98,13.9975,14.12,982486
2022-10-26 00:00:00+00:00,13.61,15.11,13.12,14.97,1244045
2022-10-27 00:00:00+00:00,13.83,14.8799,13.75,13.98,802334
2022-10-28 00:00:00+00:00,15.33,15.33,14.07,14.39,1053020
2022-10-31 00:00:00+00:00,16.57,16.73,15.4,15.48,980057
2022-11-01 00:00:00+00:00,16.76,17.39,16.36,16.87,891461
2022-11-02 00:00:00+00:00,14.69,17.24,14.47,16.99,934834
2022-11-03 00:00:00+00:00,14.79,15.04,14.36,14.67,737235
2022-11-04 00:00:00+00:00,15.47,15.64,14.6601,14.76,590117
2022-11-07 00:00:00+00:00,15.68,16.2375,15.4011,15.89,1062522
2022-11-08 00:00:00+00:00,15.57,16.01,15.08,15.83,741532
2022-11-09 00:00:00+00:00,14.74,15.25,14.64,15.21,683343
2022-11-10 00:00:00+00:00,15.76,15.775,14.47,15.18,1141006
2022-11-11 00:00:00+00:00,16.27,17.38,15.18,15.31,1082140
2022-11-14 00:00:00+00:00,15.92,16.62,15.65,16.28,638686
2022-11-15 00:00:00+00:00,15.74,16.605,15.68,16.0,972622
2022-11-16 00:00:00+00:00,14.57,15.81,14.53,15.61,596036
2022-11-17 00:00:00+00:00,14.3,14.8082,14.19,14.34,1033588
2022-11-18 00:00:00+00:00,14.1,14.49,13.52,14.49,839721
2022-11-21 00:00:00+00:00,14.34,15.27,14.07,14.34,1346553
2022-11-22 00:00:00+00:00,15.34,15.76,14.6,14.75,828844
2022-11-23 00:00:00+00:00,15.41,16.48,15.15,15.55,938554
2022-11-25 00:00:00+00:00,15.85,16.1,15.11,15.28,430081
2022-11-28 00:00:00+00:00,14.41,16.495,13.95,15.77,988544
2022-11-29 00:00:00+00:00,15.4,15.475,14.27,14.27,765225
2022-11-30 00:00:00+00:00,15.82,16.0,14.82,15.45,863200
2022-12-01 00:00:00+00:00,16.53,16.61,15.37,15.9,868287
2022-12-02 00:00:00+00:00,16.74,17.86,15.95,16.6,1572462
2022-12-05 00:00:00+00:00,16.32,17.48,15.91,16.91,780629
2022-12-06 00:00:00+00:00,15.97,16.62,15.55,16.14,584122
2022-12-07 00:00:00+00:00,16.41,16.56,15.52,16.0,578344
2022-12-08 00:00:00+00:00,15.03,16.79,15.015,16.71,902148
2022-12-09 00:00:00+00:00,15.43,15.74,14.8,15.0,789964
2022-12-12 00:00:00+00:00,16.24,16.4699,15.3,15.5,766652
2022-12-13 00:00:00+00:00,15.44,16.54,14.9127,16.5,964295
2022-12-14 00:00:00+00:00,15.71,16.14,15.19,15.19,673000
2022-12-15 00:00:00+00:00,14.82,15.81,14.31,15.65,1240390
2022-12-16 00:00:00+00:00,15.09,15.24,14.02,15.09,9979827
2022-12-19 00:00:00+00:00,14.04,15.18,13.7,15.05,1398102
2022-12-20 00:00:00+00:00,14.11,14.51,13.83,13.95,631892
2022-12-21 00:00:00+00:00,13.53,14.395,13.51,14.24,687412
2022-12-22 00:00:00+00:00,12.88,13.41,12.65,13.39,875565
2022-12-23 00:00:00+00:00,13.71,13.85,12.78,12.79,1072920
2022-12-27 00:00:00+00:00,12.61,13.85,12.505,13.69,1067673
2022-12-28 00:00:00+00:00,13.07,13.2,12.41,12.6,891034
2022-12-29 00:00:00+00:00,14.37,14.65,13.01,13.22,1054935
2022-12-30 00:00:00+00:00,13.88,14.6,13.32,14.43,956322
2023-01-03 00:00:00+00:00,13.5,14.29,13.1,14.05,946818
2023-01-04 00:00:00+00:00,14.65,15.08,13.88,14.19,1125741
2023-01-05 00:00:00+00:00,13.78,14.6499,13.5801,14.34,955387
2023-01-06 00:00:00+00:00,14.43,14.545,13.3401,13.8,713669
2023-01-09 00:00:00+00:00,14.95,15.88,14.45,14.48,1272579
