date,Open,High,Low,Close,Volume
2023-08-24 14:00:00+00:00,19.51,19.58,19.3,19.46,1302.0
2023-08-24 15:00:00+00:00,19.46,19.54,19.32,19.32,877.0
2023-08-24 16:00:00+00:00,19.32,19.48,19.32,19.48,353.0
2023-08-24 17:00:00+00:00,19.48,19.48,19.32,19.36,787.0
2023-08-24 18:00:00+00:00,19.36,19.36,19.07,19.1,1125.0
2023-08-24 19:00:00+00:00,19.1,19.1,18.81,18.82,3205.0
2023-08-25 14:00:00+00:00,19.2,19.54,19.155,19.39,3176.0
2023-08-25 15:00:00+00:00,19.34,19.53,19.335,19.395,2574.0
2023-08-25 16:00:00+00:00,19.445,19.655,19.425,19.45,2136.0
2023-08-25 17:00:00+00:00,19.45,19.58,19.44,19.465,1767.0
2023-08-25 18:00:00+00:00,19.465,19.63,19.465,19.54,2877.0
2023-08-25 19:00:00+00:00,19.54,19.57,19.245,19.255,5728.0
2023-08-28 14:00:00+00:00,19.35,19.35,19.13,19.13,202.0
2023-08-28 15:00:00+00:00,19.13,19.13,18.795,18.89,301.0
2023-08-28 16:00:00+00:00,18.89,18.995,18.89,18.96,244.0
2023-08-28 17:00:00+00:00,18.96,19.26,18.93,19.055,766.0
2023-08-28 18:00:00+00:00,19.055,19.26,19.055,19.2,519.0
2023-08-28 19:00:00+00:00,19.22,19.26,19.07,19.23,2330.0
2023-08-29 14:00:00+00:00,19.26,19.5,19.26,19.36,679.0
2023-08-29 15:00:00+00:00,19.36,19.53,19.36,19.53,973.0
2023-08-29 16:00:00+00:00,19.53,19.53,19.33,19.355,869.0
2023-08-29 17:00:00+00:00,19.355,19.37,19.325,19.335,167.0
2023-08-29 18:00:00+00:00,19.335,19.335,19.06,19.06,603.0
2023-08-29 19:00:00+00:00,19.06,19.12,18.98,19.045,4201.0
2023-08-30 14:00:00+00:00,18.63,18.73,18.24,18.42,2417.0
2023-08-30 15:00:00+00:00,18.42,18.59,18.37,18.4,977.0
2023-08-30 16:00:00+00:00,18.4,18.41,18.3,18.35,1540.0
2023-08-30 17:00:00+00:00,18.35,18.4,18.3,18.3,2336.0
2023-08-30 18:00:00+00:00,18.3,18.725,18.215,18.52,1610.0
2023-08-30 19:00:00+00:00,18.52,18.52,18.25,18.42,6624.0
2023-08-31 14:00:00+00:00,18.825,19.0,18.48,18.49,3678.0
2023-08-31 15:00:00+00:00,18.49,18.615,18.42,18.56,16764.0
2023-08-31 16:00:00+00:00,18.56,18.565,18.4,18.42,588.0
2023-08-31 17:00:00+00:00,18.42,18.56,18.395,18.48,3161.0
2023-08-31 18:00:00+00:00,18.48,18.53,18.41,18.41,2267.0
2023-08-31 19:00:00+00:00,18.41,18.48,18.23,18.345,3554.0
2023-09-01 14:00:00+00:00,18.835,19.055,18.79,18.83,3187.0
2023-09-01 15:00:00+00:00,18.8,18.87,18.75,18.76,2014.0
2023-09-01 16:00:00+00:00,18.76,18.92,18.73,18.835,1418.0
2023-09-01 17:00:00+00:00,18.835,18.915,18.75,18.855,1232.0
2023-09-01 18:00:00+00:00,18.855,18.875,18.73,18.75,1894.0
2023-09-01 19:00:00+00:00,18.75,18.94,18.7,18.94,7719.0
2023-09-04 14:00:00+00:00,18.94,18.94,18.94,18.94,0.0
2023-09-04 15:00:00+00:00,18.94,18.94,18.94,18.94,0.0
2023-09-04 16:00:00+00:00,18.94,18.94,18.94,18.94,0.0
2023-09-04 17:00:00+00:00,18.94,18.94,18.94,18.94,0.0
2023-09-04 18:00:00+00:00,18.94,18.94,18.94,18.94,0.0
2023-09-04 19:00:00+00:00,18.94,18.94,18.94,18.94,0.0
2023-09-05 14:00:00+00:00,18.23,18.55,18.12,18.3,1847.0
2023-09-05 15:00:00+00:00,18.3,18.36,18.2,18.24,1368.0
2023-09-05 16:00:00+00:00,18.24,18.3,17.65,17.77,4111.0
2023-09-05 17:00:00+00:00,17.8,17.91,17.5,17.59,9374.0
2023-09-05 18:00:00+00:00,17.59,17.67,17.385,17.5,4793.0
