date,Close,High,Low,Open,Volume
2023-12-22 00:00:00+00:00,18.14,18.3982,16.52,16.52,1459281
2023-12-29 00:00:00+00:00,18.4,18.9121,17.89,18.1,551871
2024-01-05 00:00:00+00:00,18.07,18.8,17.67,18.13,1118190
2024-01-12 00:00:00+00:00,18.13,18.38,17.49,18.07,929066
2024-01-19 00:00:00+00:00,18.22,18.39,17.62,18.35,475184
2024-01-26 00:00:00+00:00,17.9,18.3,17.51,18.03,260067
2024-02-02 00:00:00+00:00,17.92,18.49,17.83,18.02,516527
2024-02-09 00:00:00+00:00,17.75,18.32,17.65,18.26,534654
2024-02-16 00:00:00+00:00,17.04,18.1,16.98,17.9,246490
2024-02-23 00:00:00+00:00,16.53,17.18,16.29,17.13,145753
2024-03-01 00:00:00+00:00,17.39,17.58,16.5,16.58,266494
2024-03-08 00:00:00+00:00,17.59,18.41,17.41,17.8,527413
2024-03-15 00:00:00+00:00,17.53,17.84,16.58,17.56,666660
2024-03-22 00:00:00+00:00,17.06,17.44,16.95,17.3,516984
2024-03-29 00:00:00+00:00,18.14,19.7,17.77,17.78,676079
2024-04-05 00:00:00+00:00,18.7,19.48,18.43,18.43,756451
2024-04-12 00:00:00+00:00,18.77,19.39,18.43,19.2,390172
2024-04-19 00:00:00+00:00,17.85,18.72,17.52,18.67,290158
2024-04-26 00:00:00+00:00,18.7,18.95,17.5,17.74,507420
2024-05-03 00:00:00+00:00,19.34,19.45,17.835,18.93,1075172
2024-05-10 00:00:00+00:00,19.24,20.19,19.01,19.55,1259527
2024-05-17 00:00:00+00:00,19.7,21.0,19.03,19.78,1308082
2024-05-24 00:00:00+00:00,23.66,24.14,19.705,19.75,1172809
2024-05-31 00:00:00+00:00,25.04,25.26,23.3301,24.17,678104
2024-06-07 00:00:00+00:00,23.51,24.85,23.3601,24.66,334742
2024-06-14 00:00:00+00:00,23.4,24.13,22.99,23.02,252224
2024-06-21 00:00:00+00:00,24.01,24.26,23.145,23.36,221294
2024-06-28 00:00:00+00:00,25.03,26.0,24.85,25.66,543814
2024-07-05 00:00:00+00:00,25.9,25.9,24.95,25.55,209454
2024-07-12 00:00:00+00:00,25.59,25.895,24.9944,25.79,176694
2024-07-19 00:00:00+00:00,24.46,25.76,24.3,25.48,135737
2024-07-26 00:00:00+00:00,25.81,25.89,24.58,24.58,138738
2024-08-02 00:00:00+00:00,24.41,26.1398,24.1,25.8,202084
2024-08-09 00:00:00+00:00,25.38,25.391,23.22,23.5,152896
2024-08-16 00:00:00+00:00,26.15,26.15,25.25,25.38,170272
2024-08-23 00:00:00+00:00,27.27,27.32,26.45,26.45,188968
2024-08-30 00:00:00+00:00,26.69,26.83,25.57,26.83,268427
2024-09-06 00:00:00+00:00,24.48,26.17,24.48,26.17,122560
2024-09-13 00:00:00+00:00,26.6,26.66,24.54,24.6,82457
2024-09-20 00:00:00+00:00,26.86,27.25,26.11,26.21,111376
2024-09-27 00:00:00+00:00,27.48,27.945,26.83,26.89,150070
2024-10-04 00:00:00+00:00,28.18,28.75,27.8,28.03,194532
2024-10-11 00:00:00+00:00,28.18,28.51,27.73,28.16,203933
2024-10-18 00:00:00+00:00,27.18,28.645,26.62,28.56,185191
2024-10-25 00:00:00+00:00,27.15,27.86,26.75,27.46,230849
2024-11-01 00:00:00+00:00,26.63,27.15,26.45,26.71,121792
2024-11-08 00:00:00+00:00,25.02,27.33,24.8,26.91,227118
2024-11-15 00:00:00+00:00,24.13,25.34,23.7699,25.33,154081
2024-11-22 00:00:00+00:00,23.88,24.08,23.26,23.71,164935
2024-11-29 00:00:00+00:00,24.43,24.59,23.54,24.15,375020
2024-12-06 00:00:00+00:00,24.16,25.07,24.0,24.55,471219
2024-12-13 00:00:00+00:00,23.08,24.17,22.92,23.95,191080
2024-12-20 00:00:00+00:00,22.41,22.99,21.59,22.98,253785
2024-12-27 00:00:00+00:00,22.46,22.73,22.29,22.35,90038
2025-01-03 00:00:00+00:00,22.99,23.09,22.32,22.38,96918
2025-01-10 00:00:00+00:00,21.63,23.05,21.43,22.95,92110
2025-01-17 00:00:00+00:00,20.78,21.25,20.0,21.0,155158
2025-01-24 00:00:00+00:00,20.43,20.67,20.12,20.25,109319
2025-01-31 00:00:00+00:00,20.91,21.34,19.83,19.88,108474
2025-02-07 00:00:00+00:00,21.7,21.74,20.75,20.92,187870
2025-02-14 00:00:00+00:00,19.2,21.33,19.06,21.33,82838
2025-02-21 00:00:00+00:00,18.59,19.32,18.5,19.21,92309
2025-02-28 00:00:00+00:00,18.89,19.01,17.4,18.6,162172
2025-03-07 00:00:00+00:00,18.45,19.08,17.63,18.96,889119
2025-03-14 00:00:00+00:00,19.21,19.54,18.18,18.76,1344385
2025-03-21 00:00:00+00:00,20.99,21.0,19.44,19.44,310422
2025-03-28 00:00:00+00:00,20.45,22.17,19.98,21.02,286280
2025-04-04 00:00:00+00:00,18.25,20.26,17.89,19.25,239715
2025-04-11 00:00:00+00:00,19.95,20.0,17.365,17.57,304151
2025-04-18 00:00:00+00:00,20.19,20.35,19.75,20.12,80252
2025-04-25 00:00:00+00:00,20.48,20.6271,19.98,20.03,117718
2025-05-02 00:00:00+00:00,21.83,21.89,20.41,20.52,121115
2025-05-09 00:00:00+00:00,19.82,22.61,18.52,21.96,313352
