date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,11.6,11.635,11.125,11.18,3087371
2022-01-04 00:00:00+00:00,11.63,11.8,11.545,11.792,3625220
2022-01-05 00:00:00+00:00,11.24,11.72,11.23,11.62,3011253
2022-01-06 00:00:00+00:00,10.96,11.42,10.95,11.24,2255805
2022-01-07 00:00:00+00:00,10.84,11.09,10.61,11.09,4728927
2022-01-10 00:00:00+00:00,10.04,10.64,9.785,10.45,7987179
2022-01-11 00:00:00+00:00,10.63,10.655,9.94,10.0,3425251
2022-01-12 00:00:00+00:00,10.41,10.87,10.35,10.74,1803389
2022-01-13 00:00:00+00:00,10.71,10.82,10.335,10.43,2617548
2022-01-14 00:00:00+00:00,10.18,10.6,10.015,10.54,4259196
2022-01-18 00:00:00+00:00,10.03,10.14,9.88,10.04,3256955
2022-01-19 00:00:00+00:00,9.68,10.21,9.66,10.005,3263183
2022-01-20 00:00:00+00:00,9.26,9.84,9.25,9.69,3963124
2022-01-21 00:00:00+00:00,8.84,9.2878,8.83,9.12,4133779
2022-01-24 00:00:00+00:00,9.27,9.31,8.43,8.59,5931591
2022-01-25 00:00:00+00:00,9.18,9.275,8.875,9.18,3011069
2022-01-26 00:00:00+00:00,9.16,9.52,9.025,9.4,3953188
2022-01-27 00:00:00+00:00,8.99,9.4404,8.945,9.34,2963180
2022-01-28 00:00:00+00:00,9.12,9.13,8.74,8.99,2715984
2022-01-31 00:00:00+00:00,9.39,9.42,8.95,9.02,2877355
2022-02-01 00:00:00+00:00,9.6,9.62,9.13,9.34,3091061
2022-02-02 00:00:00+00:00,9.69,9.74,9.36,9.74,3230662
2022-02-03 00:00:00+00:00,9.03,9.59,8.99,9.59,3291050
2022-02-04 00:00:00+00:00,8.98,9.09,8.575,8.99,3896099
2022-02-07 00:00:00+00:00,9.18,9.305,9.0,9.01,3628408
2022-02-08 00:00:00+00:00,9.15,9.3,9.03,9.24,8921734
2022-02-09 00:00:00+00:00,9.53,9.575,9.24,9.33,8187959
2022-02-10 00:00:00+00:00,9.31,9.83,9.232,9.232,3332207
2022-02-11 00:00:00+00:00,8.92,9.425,8.83,9.31,2486583
2022-02-14 00:00:00+00:00,8.68,9.01,8.55,8.93,4121452
2022-02-15 00:00:00+00:00,9.54,9.665,8.81,8.89,6858823
2022-02-16 00:00:00+00:00,9.46,9.69,9.2,9.4,4066766
2022-02-17 00:00:00+00:00,9.82,10.0699,9.31,9.84,6827893
2022-02-18 00:00:00+00:00,10.35,10.625,9.82,9.88,8791441
2022-02-22 00:00:00+00:00,10.08,10.32,9.925,10.22,3856420
