date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,362.11,376.78,356.775,376.61,433693
2022-01-04 00:00:00+00:00,347.77,360.0,340.99,358.06,601911
2022-01-05 00:00:00+00:00,335.32,348.06,333.77,347.59,544100
2022-01-06 00:00:00+00:00,333.94,339.57,330.17,334.01,585054
2022-01-07 00:00:00+00:00,328.68,338.74,328.515,333.63,549180
2022-01-10 00:00:00+00:00,334.11,334.52,319.2,323.85,489517
2022-01-11 00:00:00+00:00,357.95,360.24,338.68,338.68,1002300
2022-01-12 00:00:00+00:00,359.86,366.01,355.85,358.0,516365
2022-01-13 00:00:00+00:00,351.85,359.04,346.71,356.65,448731
2022-01-14 00:00:00+00:00,355.01,356.34,347.1416,349.7,464132
2022-01-18 00:00:00+00:00,340.23,350.58,337.26,349.06,437244
2022-01-19 00:00:00+00:00,336.68,349.0,336.1422,343.06,383745
2022-01-20 00:00:00+00:00,332.1,345.3248,331.61,339.75,425681
2022-01-21 00:00:00+00:00,324.66,335.05,324.03,334.94,381314
2022-01-24 00:00:00+00:00,330.09,330.77,307.35,321.54,480640
2022-01-25 00:00:00+00:00,317.85,323.92,315.13,323.18,444531
2022-01-26 00:00:00+00:00,310.88,324.36,308.5,322.42,444581
2022-01-27 00:00:00+00:00,312.24,319.435,312.08,315.59,443425
2022-01-28 00:00:00+00:00,321.73,321.96,308.12,312.83,281050
2022-01-31 00:00:00+00:00,329.76,329.99,322.87,322.9,402157
2022-02-01 00:00:00+00:00,335.49,337.02,327.33,331.99,300179
2022-02-02 00:00:00+00:00,343.08,346.79,334.18,336.05,463634
2022-02-03 00:00:00+00:00,337.05,342.485,335.45,337.2,308748
2022-02-04 00:00:00+00:00,335.65,337.995,330.55,335.0,368229
2022-02-07 00:00:00+00:00,334.77,340.7,333.71,336.48,228751
2022-02-08 00:00:00+00:00,337.05,341.82,331.4,331.4,416951
2022-02-09 00:00:00+00:00,346.96,349.84,342.49,342.49,272717
2022-02-10 00:00:00+00:00,339.6,348.5,336.66,338.87,265896
2022-02-11 00:00:00+00:00,330.96,344.51,329.6939,337.94,374181
2022-02-14 00:00:00+00:00,327.44,331.3,324.62,329.25,457977
2022-02-15 00:00:00+00:00,312.63,334.63,307.68,333.18,1293474
2022-02-16 00:00:00+00:00,305.28,308.13,286.97,294.0,1286569
2022-02-17 00:00:00+00:00,291.63,306.54,289.02,306.0,947662
2022-02-18 00:00:00+00:00,293.61,299.92,290.13,293.32,654501
2022-02-22 00:00:00+00:00,289.58,293.34,285.37,291.05,585982
2022-02-23 00:00:00+00:00,283.57,296.126,283.182,292.75,1030720
2022-02-24 00:00:00+00:00,290.03,291.94,276.33,277.12,602413
2022-02-25 00:00:00+00:00,296.16,296.16,286.04,287.53,486892
2022-02-28 00:00:00+00:00,291.16,293.93,285.33,293.16,640721
2022-03-01 00:00:00+00:00,284.44,292.75,282.46,288.83,542004
2022-03-02 00:00:00+00:00,286.99,289.82,283.78,286.05,693772
2022-03-03 00:00:00+00:00,284.15,290.25,281.05,290.25,531799
2022-03-04 00:00:00+00:00,278.0,285.51,274.88,283.05,549258
2022-03-07 00:00:00+00:00,266.47,280.96,261.82,280.96,812388
2022-03-08 00:00:00+00:00,256.66,266.65,251.3,266.65,841855
2022-03-09 00:00:00+00:00,268.49,271.61,263.2671,265.35,671965
2022-03-10 00:00:00+00:00,266.57,267.93,259.28,262.63,411299
2022-03-11 00:00:00+00:00,259.54,270.845,259.33,270.31,644245
2022-03-14 00:00:00+00:00,255.51,268.045,255.34,261.2,457301
2022-03-15 00:00:00+00:00,259.23,260.15,253.81,257.58,599898
2022-03-16 00:00:00+00:00,270.77,271.51,260.01,262.85,477217
2022-03-17 00:00:00+00:00,281.7,281.86,269.31,269.55,548099
2022-03-18 00:00:00+00:00,286.77,291.6,279.68,280.85,730954
2022-03-21 00:00:00+00:00,286.61,289.06,283.01,284.58,340933
2022-03-22 00:00:00+00:00,295.38,297.49,285.99,286.35,620185
2022-03-23 00:00:00+00:00,278.71,292.505,277.63,292.505,406876
2022-03-24 00:00:00+00:00,281.05,281.79,275.67,280.17,279548
2022-03-25 00:00:00+00:00,279.1,283.06,273.0,282.77,342247
2022-03-28 00:00:00+00:00,282.68,282.7,276.415,278.65,340242
2022-03-29 00:00:00+00:00,290.95,292.81,287.59,287.59,363745
2022-03-30 00:00:00+00:00,289.86,292.25,288.165,290.02,360465
2022-03-31 00:00:00+00:00,283.97,292.26,283.93,289.48,375591
2022-04-01 00:00:00+00:00,288.66,291.025,283.97,286.12,305583
2022-04-04 00:00:00+00:00,287.27,291.21,286.0,288.59,293620
2022-04-05 00:00:00+00:00,288.66,291.325,283.59,288.27,674518
2022-04-06 00:00:00+00:00,286.02,287.16,276.94,287.16,462772
2022-04-07 00:00:00+00:00,302.02,303.835,284.48,286.51,647444
2022-04-08 00:00:00+00:00,302.4,308.15,298.77,299.95,567417
2022-04-11 00:00:00+00:00,290.67,302.39,288.84,302.39,448436
2022-04-12 00:00:00+00:00,286.65,296.57,283.48,296.57,498785
2022-04-13 00:00:00+00:00,289.82,291.75,284.77,286.06,299703
2022-04-14 00:00:00+00:00,284.63,290.19,281.59,289.82,389190
2022-04-18 00:00:00+00:00,277.23,284.88,275.49,283.76,412659
2022-04-19 00:00:00+00:00,288.55,290.19,277.23,277.64,526789
2022-04-20 00:00:00+00:00,296.85,297.93,286.45,290.75,410600
2022-04-21 00:00:00+00:00,292.0,301.1,291.065,299.38,588144
2022-04-22 00:00:00+00:00,273.03,288.83,272.55,288.83,394335
2022-04-25 00:00:00+00:00,253.34,259.655,249.69,257.05,909237
2022-04-26 00:00:00+00:00,231.67,253.37,230.62,249.81,1169657
2022-04-27 00:00:00+00:00,238.95,241.66,232.45,234.29,950152
2022-04-28 00:00:00+00:00,242.17,245.91,234.605,235.0,819644
2022-04-29 00:00:00+00:00,241.51,252.06,240.54,242.22,640480
2022-05-02 00:00:00+00:00,245.88,245.91,234.8,239.76,836220
2022-05-03 00:00:00+00:00,251.19,254.49,245.49,246.23,1066504
2022-05-04 00:00:00+00:00,257.51,265.0,240.27,265.0,1063957
2022-05-05 00:00:00+00:00,248.19,257.5,245.35,257.47,754959
2022-05-06 00:00:00+00:00,241.96,247.91,239.63,247.38,606656
2022-05-09 00:00:00+00:00,228.85,240.115,227.29,238.62,783134
