date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,6.12,6.6165,6.11,6.37,217120
2022-01-04 00:00:00+00:00,6.09,6.27,6.02,6.16,128063
2022-01-05 00:00:00+00:00,5.98,6.13,5.941,6.13,294035
2022-01-06 00:00:00+00:00,6.17,6.21,5.92,5.94,352750
2022-01-07 00:00:00+00:00,6.06,6.23,5.97,6.21,142497
2022-01-10 00:00:00+00:00,5.95,6.05,5.78,6.01,178761
2022-01-11 00:00:00+00:00,5.95,5.99,5.775,5.95,129967
2022-01-12 00:00:00+00:00,5.94,6.09,5.85,6.02,814424
2022-01-13 00:00:00+00:00,5.86,5.98,5.83,5.89,236296
2022-01-14 00:00:00+00:00,5.7,5.85,5.66,5.76,103282
2022-01-18 00:00:00+00:00,5.37,5.58,5.36,5.55,177363
2022-01-19 00:00:00+00:00,5.26,5.51,5.24,5.38,177589
2022-01-20 00:00:00+00:00,5.44,5.64,5.17,5.26,224362
2022-01-21 00:00:00+00:00,5.29,5.54,5.28,5.32,190528
2022-01-24 00:00:00+00:00,5.2,5.275,4.97,5.12,318858
2022-01-25 00:00:00+00:00,5.18,5.325,5.13,5.15,150343
2022-01-26 00:00:00+00:00,5.17,5.4,5.13,5.28,175708
2022-01-27 00:00:00+00:00,5.07,5.3,5.05,5.16,236971
2022-01-28 00:00:00+00:00,5.1,5.15,5.01,5.07,178109
2022-01-31 00:00:00+00:00,5.38,5.42,5.1,5.1,267564
2022-02-01 00:00:00+00:00,5.55,5.61,5.38,5.43,169318
2022-02-02 00:00:00+00:00,5.55,5.7,5.53,5.62,197139
2022-02-03 00:00:00+00:00,5.5,5.66,5.45,5.46,138400
2022-02-04 00:00:00+00:00,5.48,5.58,5.3,5.43,134499
2022-02-07 00:00:00+00:00,5.66,5.74,5.44,5.44,231572
2022-02-08 00:00:00+00:00,5.73,5.8,5.67,5.71,164449
2022-02-09 00:00:00+00:00,5.76,5.7999,5.4601,5.65,413345
2022-02-10 00:00:00+00:00,6.0,6.32,5.7,5.7,329961
2022-02-11 00:00:00+00:00,5.77,6.1,5.77,5.94,273404
2022-02-14 00:00:00+00:00,5.6,5.8,5.57,5.8,157994
2022-02-15 00:00:00+00:00,5.85,5.915,5.63,5.63,157760
2022-02-16 00:00:00+00:00,6.19,6.39,5.96,5.97,436014
2022-02-17 00:00:00+00:00,6.13,6.23,6.08,6.2,283781
2022-02-18 00:00:00+00:00,5.92,6.19,5.89,6.13,167089
2022-02-22 00:00:00+00:00,5.71,6.0,5.7,5.81,175601
2022-02-23 00:00:00+00:00,5.54,5.85,5.52,5.75,162153
2022-02-24 00:00:00+00:00,5.72,5.77,5.32,5.32,208879
2022-02-25 00:00:00+00:00,5.76,5.83,5.68,5.77,92054
2022-02-28 00:00:00+00:00,5.66,5.83,5.59,5.66,129478
2022-03-01 00:00:00+00:00,5.45,5.67,5.2,5.59,247551
2022-03-02 00:00:00+00:00,5.7,5.75,5.43,5.43,202205
2022-03-03 00:00:00+00:00,5.86,5.9,5.64,5.77,144069
2022-03-04 00:00:00+00:00,5.75,5.8,5.51,5.76,161582
2022-03-07 00:00:00+00:00,5.43,5.705,5.25,5.69,244998
2022-03-08 00:00:00+00:00,5.47,5.71,5.42,5.42,239332
2022-03-09 00:00:00+00:00,5.69,5.77,5.61,5.62,134826
2022-03-10 00:00:00+00:00,5.65,5.71,5.55,5.6,148502
2022-03-11 00:00:00+00:00,5.72,5.75,5.5,5.67,128071
2022-03-14 00:00:00+00:00,5.8,5.9,5.61,5.64,196419
2022-03-15 00:00:00+00:00,5.8,6.0,5.8,5.84,156770
2022-03-16 00:00:00+00:00,5.93,6.0,5.87,5.93,170623
2022-03-17 00:00:00+00:00,6.01,6.14,5.95,5.96,199816
2022-03-18 00:00:00+00:00,6.01,6.06,5.91,5.98,224630
2022-03-21 00:00:00+00:00,5.83,6.0,5.8,6.0,217747
2022-03-22 00:00:00+00:00,5.86,5.91,5.7614,5.85,248367
2022-03-23 00:00:00+00:00,5.85,5.89,5.79,5.83,179705
2022-03-24 00:00:00+00:00,6.03,6.03,5.81,5.85,304461
2022-03-25 00:00:00+00:00,6.03,6.21,5.97,6.08,320299
2022-03-28 00:00:00+00:00,6.07,6.11,5.97,6.0,207821
2022-03-29 00:00:00+00:00,6.11,6.15,6.01,6.15,453473
2022-03-30 00:00:00+00:00,5.9,6.2,5.89,6.2,377600
2022-03-31 00:00:00+00:00,5.95,6.02,5.82,5.95,707540
2022-04-01 00:00:00+00:00,6.1,6.11,5.89,5.95,962803
2022-04-04 00:00:00+00:00,6.04,6.16,5.96,6.15,436230
