date,Close,High,Low,Open,Volume
2024-07-05 00:00:00+00:00,0.145,0.2,0.13,0.2,929122
2024-07-12 00:00:00+00:00,0.1501,0.18,0.12,0.18,105178
2024-07-19 00:00:00+00:00,0.1224,0.13,0.1114,0.1114,105134
2024-07-26 00:00:00+00:00,0.125,0.14,0.1,0.1224,71499
2024-08-02 00:00:00+00:00,0.1355,0.16,0.125,0.13,46783
2024-08-09 00:00:00+00:00,0.12,0.1721,0.12,0.1355,17123
2024-08-16 00:00:00+00:00,0.12,0.15,0.12,0.15,300717
2024-08-23 00:00:00+00:00,0.1298,0.1298,0.1135,0.12,250861
2024-08-30 00:00:00+00:00,0.1,0.1298,0.1,0.1298,369519
2024-09-06 00:00:00+00:00,0.1,0.1047,0.0802,0.1001,100174
2024-09-13 00:00:00+00:00,0.1,0.102,0.085101,0.085101,13905
2024-09-20 00:00:00+00:00,0.1,0.11,0.086,0.0861,56974
2024-09-27 00:00:00+00:00,0.12,0.12,0.1019,0.102,46862
2024-10-04 00:00:00+00:00,0.11,0.12,0.1001,0.11,27514
2024-10-11 00:00:00+00:00,0.11,0.12,0.1,0.11,4512
2024-10-18 00:00:00+00:00,0.125,0.125,0.1001,0.11,93751
2024-10-25 00:00:00+00:00,0.1088,0.1412,0.1087,0.1125,27067
2024-11-01 00:00:00+00:00,0.1101,0.14,0.1088,0.1088,13750
2024-11-08 00:00:00+00:00,0.12,0.14,0.101,0.14,22817
2024-11-15 00:00:00+00:00,0.101,0.139999,0.101,0.1101,24956
2024-11-22 00:00:00+00:00,0.11,0.14,0.1,0.101,506260
2024-11-29 00:00:00+00:00,0.1127,0.15,0.11,0.14,228915
2024-12-06 00:00:00+00:00,0.13,0.13,0.11,0.12,1381899
2024-12-13 00:00:00+00:00,0.13,0.13,0.13,0.13,5258
2024-12-20 00:00:00+00:00,0.1427,0.1516,0.1337,0.148,199615
2024-12-27 00:00:00+00:00,0.1427,0.1427,0.1427,0.1427,10
2025-01-03 00:00:00+00:00,0.14,0.14,0.14,0.14,601
2025-01-10 00:00:00+00:00,0.1401,0.15,0.14,0.15,26307
2025-01-17 00:00:00+00:00,0.15,0.15,0.14,0.1401,8912
2025-01-24 00:00:00+00:00,0.15,0.1599,0.14,0.14001,42640
2025-01-31 00:00:00+00:00,0.14,0.165,0.11,0.16,43022
2025-02-07 00:00:00+00:00,0.15,0.1611,0.118,0.1283,390228
2025-02-14 00:00:00+00:00,0.18,0.185,0.15,0.1557,635887
2025-02-21 00:00:00+00:00,0.18,0.18,0.18,0.18,0
2025-02-28 00:00:00+00:00,0.18,0.1837,0.18,0.1837,218825
2025-03-07 00:00:00+00:00,0.1801,0.19,0.18,0.1829,107541
2025-03-14 00:00:00+00:00,0.18,0.1801,0.18,0.1801,500
2025-03-21 00:00:00+00:00,0.18,0.18,0.18,0.18,60
2025-03-28 00:00:00+00:00,0.1906,0.2201,0.1675,0.18,41755
2025-04-04 00:00:00+00:00,0.24,0.24,0.181,0.1916,16806
2025-04-11 00:00:00+00:00,0.2,0.2,0.1399,0.1399,1950
2025-04-18 00:00:00+00:00,0.21,0.21,0.2,0.2,30152
2025-04-25 00:00:00+00:00,0.2251,0.2394,0.21,0.21,35790
2025-05-02 00:00:00+00:00,0.20536,0.239,0.1699,0.23,35858
2025-05-09 00:00:00+00:00,0.3001,0.312,0.20536,0.20536,202107
