date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,21.78,22.3,21.53,21.59,3165961
2022-01-04 00:00:00+00:00,22.39,22.915,22.2,22.25,3234288
2022-01-05 00:00:00+00:00,21.71,23.0,21.63,22.68,4489848
2022-01-06 00:00:00+00:00,22.35,22.525,21.68,21.71,3041665
2022-01-07 00:00:00+00:00,21.9,22.59,21.66,22.35,3513559
2022-01-10 00:00:00+00:00,21.55,21.75,21.02,21.67,3245929
2022-01-11 00:00:00+00:00,22.16,22.17,21.11,21.56,2982787
2022-01-12 00:00:00+00:00,22.73,23.34,22.1,22.12,4073909
2022-01-13 00:00:00+00:00,23.45,24.17,22.88,23.04,5959289
2022-01-14 00:00:00+00:00,24.12,24.17,22.77,23.095,4060612
2022-01-18 00:00:00+00:00,23.1,24.139,22.92,24.1,4264702
2022-01-19 00:00:00+00:00,22.49,23.6,22.47,23.22,2776625
2022-01-20 00:00:00+00:00,21.74,22.915,21.67,22.42,3864980
2022-01-21 00:00:00+00:00,21.51,22.23,21.22,21.32,4839915
2022-01-24 00:00:00+00:00,22.04,22.06,20.23,20.75,5818939
2022-01-25 00:00:00+00:00,21.31,21.6,20.79,21.6,4221574
2022-01-26 00:00:00+00:00,20.97,22.03,20.705,21.77,4228102
2022-01-27 00:00:00+00:00,19.79,21.465,19.47,21.33,5483213
2022-01-28 00:00:00+00:00,19.92,19.92,19.14,19.51,4935619
2022-01-31 00:00:00+00:00,20.73,20.74,19.71,19.85,4755323
2022-02-01 00:00:00+00:00,21.64,21.725,20.58,20.775,4544949
2022-02-02 00:00:00+00:00,21.88,22.13,21.45,21.75,3981640
2022-02-03 00:00:00+00:00,20.97,21.81,20.96,21.66,2892046
2022-02-04 00:00:00+00:00,21.03,21.185,20.315,20.545,4087449
2022-02-07 00:00:00+00:00,20.89,21.31,20.545,21.01,3958357
2022-02-08 00:00:00+00:00,21.39,21.56,20.93,21.03,3905744
2022-02-09 00:00:00+00:00,21.88,22.18,21.67,21.72,4482222
2022-02-10 00:00:00+00:00,21.74,22.53,21.44,21.68,6385673
2022-02-11 00:00:00+00:00,15.775,22.66,15.55,22.61,56661965
2022-02-14 00:00:00+00:00,16.02,16.89,15.92,16.35,25663986
2022-02-15 00:00:00+00:00,16.7,16.96,16.1,16.26,16447514
2022-02-16 00:00:00+00:00,16.45,16.95,16.175,16.54,10213365
2022-02-17 00:00:00+00:00,16.57,16.735,16.2,16.3,9047620
2022-02-18 00:00:00+00:00,16.01,16.68,15.96,16.47,7184171
2022-02-22 00:00:00+00:00,15.34,15.81,15.055,15.5,9986781
2022-02-23 00:00:00+00:00,14.9,15.58,14.88,15.45,6951897
2022-02-24 00:00:00+00:00,15.19,15.23,14.11,14.235,9233622
2022-02-25 00:00:00+00:00,15.51,15.545,14.805,15.15,6741579
2022-02-28 00:00:00+00:00,15.49,15.92,15.34,15.9,9554166
2022-03-01 00:00:00+00:00,14.52,15.37,14.42,15.34,11808397
2022-03-02 00:00:00+00:00,15.21,15.44,14.67,14.69,7198350
2022-03-03 00:00:00+00:00,14.57,15.41,14.54,15.15,8504901
2022-03-04 00:00:00+00:00,13.49,14.55,13.3,14.49,13553780
2022-03-07 00:00:00+00:00,11.82,13.455,11.76,13.31,17370254
2022-03-08 00:00:00+00:00,12.4,13.15,11.6419,12.02,12366130
