date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,67.03,70.59,66.451,67.37,517744
2022-01-04 00:00:00+00:00,64.44,68.085,64.305,67.38,732255
2022-01-05 00:00:00+00:00,61.22,65.17,60.97,64.79,638104
2022-01-06 00:00:00+00:00,62.63,63.69,60.23,61.18,504557
2022-01-07 00:00:00+00:00,63.57,65.07,61.425,62.39,652294
2022-01-10 00:00:00+00:00,63.02,63.08,60.89,62.32,1147527
2022-01-11 00:00:00+00:00,64.08,64.43,62.01,62.5,443429
2022-01-12 00:00:00+00:00,62.27,64.8,62.06,64.8,605782
2022-01-13 00:00:00+00:00,61.51,63.745,61.33,62.1,465212
2022-01-14 00:00:00+00:00,61.3,63.88,59.8,60.96,717295
2022-01-18 00:00:00+00:00,60.91,63.55,60.49,61.0,893235
2022-01-19 00:00:00+00:00,58.67,61.72,58.57,60.83,809738
2022-01-20 00:00:00+00:00,57.77,61.73,57.59,59.11,780387
2022-01-21 00:00:00+00:00,56.1,58.72,55.85,57.02,882208
2022-01-24 00:00:00+00:00,59.31,59.51,53.08,54.49,1185154
2022-01-25 00:00:00+00:00,57.99,59.81,57.15,58.34,658949
2022-01-26 00:00:00+00:00,56.79,60.67,56.33,58.48,517321
2022-01-27 00:00:00+00:00,54.93,59.42,54.15,58.11,614462
2022-01-28 00:00:00+00:00,54.83,55.17,52.6,54.49,1196350
2022-01-31 00:00:00+00:00,57.7,57.81,53.74,54.28,1273566
2022-02-01 00:00:00+00:00,59.86,60.14,57.57,58.29,759694
2022-02-02 00:00:00+00:00,58.26,59.4,56.705,59.4,561284
2022-02-03 00:00:00+00:00,56.95,59.83,56.49,57.8,823938
2022-02-04 00:00:00+00:00,59.01,59.54,55.99,56.9,1383601
2022-02-07 00:00:00+00:00,60.76,61.22,58.3,58.92,541052
2022-02-08 00:00:00+00:00,62.15,62.41,59.16,60.79,623367
2022-02-09 00:00:00+00:00,64.13,64.29,61.69,62.71,828245
2022-02-10 00:00:00+00:00,63.09,65.48,62.26,62.96,1061546
2022-02-11 00:00:00+00:00,62.39,64.44,61.735,63.5,615735
2022-02-14 00:00:00+00:00,61.66,63.55,61.44,62.38,487233
2022-02-15 00:00:00+00:00,64.75,65.05,62.62,63.3,651510
2022-02-16 00:00:00+00:00,66.14,66.53,62.66,63.9,497724
2022-02-17 00:00:00+00:00,63.98,66.21,63.4,65.5,494537
2022-02-18 00:00:00+00:00,61.87,64.07,61.7,63.29,441495
2022-02-22 00:00:00+00:00,60.31,62.23,59.715,60.66,592617
2022-02-23 00:00:00+00:00,60.3,62.34,60.21,61.4,383863
2022-02-24 00:00:00+00:00,60.82,61.25,56.35,57.33,755277
2022-02-25 00:00:00+00:00,62.63,62.64,59.21,61.23,599582
2022-02-28 00:00:00+00:00,62.92,63.405,61.39,61.83,762740
2022-03-01 00:00:00+00:00,57.7,62.24,56.73,61.88,1560842
2022-03-02 00:00:00+00:00,62.06,68.8373,61.5303,64.0,2106045
2022-03-03 00:00:00+00:00,63.57,65.41,61.418,61.99,1400525
2022-03-04 00:00:00+00:00,59.4,64.46,58.23,62.67,869500
2022-03-07 00:00:00+00:00,52.9,59.93,52.48,59.83,1196594
2022-03-08 00:00:00+00:00,55.15,57.87,52.22,52.91,1087161
2022-03-09 00:00:00+00:00,57.71,59.085,56.365,57.1,486714
2022-03-10 00:00:00+00:00,60.09,60.565,56.77,58.15,1265902
2022-03-11 00:00:00+00:00,58.94,61.44,58.86,60.37,643597
2022-03-14 00:00:00+00:00,56.51,59.44,55.69,59.44,687791
2022-03-15 00:00:00+00:00,59.24,59.74,56.26,56.75,1294632
2022-03-16 00:00:00+00:00,61.98,62.08,59.09,60.04,830843
2022-03-17 00:00:00+00:00,61.44,62.26,59.77,60.69,793455
2022-03-18 00:00:00+00:00,62.16,62.33,57.0,60.34,1138125
2022-03-21 00:00:00+00:00,60.46,61.42,59.37,61.05,829863
2022-03-22 00:00:00+00:00,61.47,62.01,60.43,60.43,1433080
2022-03-23 00:00:00+00:00,59.02,61.395,58.53,59.88,758846
2022-03-24 00:00:00+00:00,60.84,60.88,58.16,59.55,346858
2022-03-25 00:00:00+00:00,59.49,61.7566,58.75,61.53,365164
2022-03-28 00:00:00+00:00,58.86,60.34,57.83,59.26,678042
2022-03-29 00:00:00+00:00,62.33,62.655,59.69,59.7,634399
2022-03-30 00:00:00+00:00,60.57,62.07,59.59,61.62,448996
2022-03-31 00:00:00+00:00,58.75,61.23,58.74,60.74,669306
2022-04-01 00:00:00+00:00,60.77,61.12,58.81,59.26,843865
2022-04-04 00:00:00+00:00,63.24,64.22,60.21,60.77,727308
2022-04-05 00:00:00+00:00,61.96,63.83,60.56,63.13,719591
2022-04-06 00:00:00+00:00,57.13,61.88,57.06,60.71,1120959
2022-04-07 00:00:00+00:00,57.09,57.8975,55.9,56.68,1015194
2022-04-08 00:00:00+00:00,57.55,58.73,56.25,56.64,627926
2022-04-11 00:00:00+00:00,57.21,58.89,56.47,56.64,658782
2022-04-12 00:00:00+00:00,57.66,59.47,56.96,58.16,535138
2022-04-13 00:00:00+00:00,59.29,60.03,57.63,57.63,589377
2022-04-14 00:00:00+00:00,59.59,60.63,59.42,59.77,861560
2022-04-18 00:00:00+00:00,58.68,60.36,58.05,60.36,787132
2022-04-19 00:00:00+00:00,62.69,63.955,58.59,58.59,748834
2022-04-20 00:00:00+00:00,61.85,64.09,61.57,64.09,588430
2022-04-21 00:00:00+00:00,59.62,63.69,58.73,62.57,606483
2022-04-22 00:00:00+00:00,58.71,60.26,58.1,59.3,477093
2022-04-25 00:00:00+00:00,60.99,61.17,57.515,57.61,978861
2022-04-26 00:00:00+00:00,57.38,60.435,57.25,60.06,772967
2022-04-27 00:00:00+00:00,56.75,58.41,55.61,57.35,452355
2022-04-28 00:00:00+00:00,58.07,58.595,55.655,57.79,515689
2022-04-29 00:00:00+00:00,56.06,61.23,55.86,58.98,408712
2022-05-02 00:00:00+00:00,58.11,58.11,54.51,54.51,500306
2022-05-03 00:00:00+00:00,58.83,59.26,56.93,58.11,629385
2022-05-04 00:00:00+00:00,59.0,60.07,55.53,60.07,859721
2022-05-05 00:00:00+00:00,55.18,58.5,53.87,57.61,1040688
2022-05-06 00:00:00+00:00,52.46,55.09,51.63,54.52,628091
2022-05-09 00:00:00+00:00,47.2,52.22,47.0,51.03,1486325
2022-05-10 00:00:00+00:00,47.66,50.32,46.35,47.86,1475633
2022-05-11 00:00:00+00:00,47.33,52.09,45.4,45.4,1213652
2022-05-12 00:00:00+00:00,48.67,49.76,45.32,46.2,864289
2022-05-13 00:00:00+00:00,51.53,53.16,49.75,49.75,886716
2022-05-16 00:00:00+00:00,48.24,51.8025,48.09,50.89,1613793
2022-05-17 00:00:00+00:00,52.76,53.665,50.27,53.65,1086772
2022-05-18 00:00:00+00:00,50.05,52.745,49.42,51.38,1014946
2022-05-19 00:00:00+00:00,49.61,51.4,49.425,49.46,1032691
2022-05-20 00:00:00+00:00,49.46,50.46,47.16,50.46,769520
2022-05-23 00:00:00+00:00,50.02,50.551,48.72,50.11,539480
2022-05-24 00:00:00+00:00,46.97,49.66,46.03,48.93,619383
2022-05-25 00:00:00+00:00,48.53,49.43,45.94,46.8,791953
2022-05-26 00:00:00+00:00,51.8,52.025,49.02,49.03,879141
2022-05-27 00:00:00+00:00,52.63,53.045,51.05,51.91,420352
2022-05-31 00:00:00+00:00,52.8,53.44,50.89,52.18,1625256
2022-06-01 00:00:00+00:00,53.45,53.97,51.49,53.28,560075
2022-06-02 00:00:00+00:00,54.71,55.97,52.09,53.25,1351588
2022-06-03 00:00:00+00:00,54.38,54.55,53.17,54.17,460736
2022-06-06 00:00:00+00:00,55.43,56.56,54.06,55.22,847870
2022-06-07 00:00:00+00:00,55.72,56.42,52.93,54.53,435780
2022-06-08 00:00:00+00:00,54.69,56.35,54.37,55.6,309060
2022-06-09 00:00:00+00:00,52.9,54.405,51.18,53.55,336495
2022-06-10 00:00:00+00:00,50.35,52.26,49.75,51.32,355155
2022-06-13 00:00:00+00:00,46.91,48.97,45.215,48.1,567709
2022-06-14 00:00:00+00:00,47.41,48.3,46.7,47.19,690538
2022-06-15 00:00:00+00:00,49.76,51.19,47.709,48.25,1557917
2022-06-16 00:00:00+00:00,46.76,48.15,46.5,47.79,806633
2022-06-17 00:00:00+00:00,47.01,48.19,46.21,47.95,1038396
2022-06-21 00:00:00+00:00,47.97,49.25,47.84,48.41,1147933
2022-06-22 00:00:00+00:00,47.98,49.12,46.185,47.1,654963
2022-06-23 00:00:00+00:00,47.22,48.3974,46.49,47.93,1256296
2022-06-24 00:00:00+00:00,50.61,50.95,47.29,47.34,3069339
2022-06-27 00:00:00+00:00,49.71,51.43,48.98,51.04,915151
2022-06-28 00:00:00+00:00,48.96,51.34,48.91,50.36,1450861
2022-06-29 00:00:00+00:00,47.17,48.68,46.38,48.6,651427
2022-06-30 00:00:00+00:00,46.99,47.38,45.0,45.99,1767970
2022-07-01 00:00:00+00:00,48.57,48.59,44.38,47.15,1109230
2022-07-05 00:00:00+00:00,49.27,49.576,45.905,46.88,693950
2022-07-06 00:00:00+00:00,48.46,50.235,48.31,49.36,767254
2022-07-07 00:00:00+00:00,47.88,49.79,47.77,48.91,424817
2022-07-08 00:00:00+00:00,46.41,47.565,45.53,47.46,410872
2022-07-11 00:00:00+00:00,44.3,46.025,43.22,45.75,661856
2022-07-12 00:00:00+00:00,43.69,44.83,42.76,43.79,794396
2022-07-13 00:00:00+00:00,43.42,43.73,41.51,42.27,328469
2022-07-14 00:00:00+00:00,42.58,42.85,41.48,42.12,452263
2022-07-15 00:00:00+00:00,44.49,44.79,42.73,43.94,362148
2022-07-18 00:00:00+00:00,45.07,46.37,44.78,45.36,299887
2022-07-19 00:00:00+00:00,47.48,48.02,46.14,46.14,368937
2022-07-20 00:00:00+00:00,49.39,49.69,47.18,47.51,418961
2022-07-21 00:00:00+00:00,50.58,50.66,47.85,48.88,397481
2022-07-22 00:00:00+00:00,49.46,51.06,48.76,50.52,362773
2022-07-25 00:00:00+00:00,49.49,50.045,48.48,49.65,261056
2022-07-26 00:00:00+00:00,49.0,49.1,47.24,49.04,285821
2022-07-27 00:00:00+00:00,50.23,50.54,48.96,49.54,388548
2022-07-28 00:00:00+00:00,51.07,51.13,49.43,50.39,292093
2022-07-29 00:00:00+00:00,50.94,51.0,48.66,51.0,477816
2022-08-01 00:00:00+00:00,49.12,50.14,47.27,49.89,479179
2022-08-02 00:00:00+00:00,50.98,51.0,48.02,48.5,514872
2022-08-03 00:00:00+00:00,53.73,54.16,50.63,50.99,671215
2022-08-04 00:00:00+00:00,52.51,53.73,51.9,53.37,421665
2022-08-05 00:00:00+00:00,52.88,53.53,51.62,51.82,414556
2022-08-08 00:00:00+00:00,53.57,54.86,53.08,53.08,611538
2022-08-09 00:00:00+00:00,52.66,53.6,51.31,53.04,863614
2022-08-10 00:00:00+00:00,55.24,55.84,52.88,53.61,816436
2022-08-11 00:00:00+00:00,56.07,56.8525,55.42,56.1,559203
2022-08-12 00:00:00+00:00,57.96,57.97,56.12,56.86,520804
2022-08-15 00:00:00+00:00,57.58,58.18,57.18,57.18,419454
2022-08-16 00:00:00+00:00,58.36,58.525,56.81,57.43,382276
2022-08-17 00:00:00+00:00,56.85,57.96,56.31,57.39,385150
2022-08-18 00:00:00+00:00,57.37,57.59,56.325,56.53,267596
2022-08-19 00:00:00+00:00,55.19,56.82,54.65,56.53,468355
2022-08-22 00:00:00+00:00,51.41,53.93,51.36,53.62,593137
2022-08-23 00:00:00+00:00,52.98,53.02,51.42,51.85,505506
2022-08-24 00:00:00+00:00,53.54,54.08,52.61,52.69,392841
2022-08-25 00:00:00+00:00,54.16,54.86,52.38,53.54,239118
2022-08-26 00:00:00+00:00,52.08,54.37,52.06,54.37,429982
2022-08-29 00:00:00+00:00,51.86,52.505,50.84,51.34,239301
2022-08-30 00:00:00+00:00,50.67,52.785,50.31,51.96,359336
2022-08-31 00:00:00+00:00,49.23,50.86,49.07,50.5,516848
2022-09-01 00:00:00+00:00,47.22,48.53,46.105,48.53,2694717
2022-09-02 00:00:00+00:00,46.19,48.18,46.09,48.07,821508
2022-09-06 00:00:00+00:00,45.28,46.44,44.11,46.17,654953
2022-09-07 00:00:00+00:00,47.23,47.54,44.89,45.21,571941
2022-09-08 00:00:00+00:00,47.76,47.8294,45.79,46.23,774289
2022-09-09 00:00:00+00:00,50.74,50.74,48.36,48.36,506452
2022-09-12 00:00:00+00:00,52.36,52.63,50.97,51.35,415060
2022-09-13 00:00:00+00:00,48.75,50.83,48.3,50.13,547557
2022-09-14 00:00:00+00:00,49.39,49.43,47.65,48.65,1487890
2022-09-15 00:00:00+00:00,48.81,50.615,48.17,49.15,1037895
2022-09-16 00:00:00+00:00,48.72,48.97,47.575,48.3,1751710
2022-09-19 00:00:00+00:00,49.47,49.745,47.56,47.56,887827
2022-09-20 00:00:00+00:00,48.3,49.62,47.93,49.43,2843600
2022-09-21 00:00:00+00:00,44.98,48.655,44.97,48.46,1205473
2022-09-22 00:00:00+00:00,41.97,45.17,41.04,44.86,729552
2022-09-23 00:00:00+00:00,41.23,41.66,40.1,41.12,601166
2022-09-26 00:00:00+00:00,41.14,43.03,41.02,41.42,602586
2022-09-27 00:00:00+00:00,43.27,44.56,42.04,42.04,695046
2022-09-28 00:00:00+00:00,45.24,45.51,43.445,43.82,1016921
2022-09-29 00:00:00+00:00,43.94,44.75,42.865,44.32,827184
2022-09-30 00:00:00+00:00,42.88,44.81,42.19,43.28,1095958
2022-10-03 00:00:00+00:00,43.68,44.4,42.82,43.72,504756
2022-10-04 00:00:00+00:00,47.23,47.74,44.785,45.18,511949
2022-10-05 00:00:00+00:00,48.22,48.63,45.71,45.94,430822
2022-10-06 00:00:00+00:00,47.44,49.31,47.35,47.97,370206
2022-10-07 00:00:00+00:00,47.11,47.38,45.8,46.66,458124
2022-10-10 00:00:00+00:00,46.19,47.335,45.42,47.02,589687
2022-10-11 00:00:00+00:00,46.03,46.84,43.49,46.01,990372
2022-10-12 00:00:00+00:00,46.17,46.64,45.14,45.94,453713
2022-10-13 00:00:00+00:00,47.39,48.2,43.445,44.7,555648
2022-10-14 00:00:00+00:00,46.0,48.44,45.84,47.69,665104
2022-10-17 00:00:00+00:00,48.66,49.015,47.59,47.74,807428
2022-10-18 00:00:00+00:00,50.57,51.15,49.63,50.14,514470
2022-10-19 00:00:00+00:00,49.58,50.71,48.7,49.62,510096
2022-10-20 00:00:00+00:00,49.53,51.74,49.41,49.79,487701
2022-10-21 00:00:00+00:00,50.66,51.14,47.135,49.72,327927
2022-10-24 00:00:00+00:00,50.76,51.15,49.76,50.29,339786
2022-10-25 00:00:00+00:00,53.34,53.54,50.94,50.94,528525
2022-10-26 00:00:00+00:00,53.76,55.19,53.05,53.44,427340
2022-10-27 00:00:00+00:00,53.84,55.3,53.7,54.42,282761
2022-10-28 00:00:00+00:00,55.43,55.76,53.57,54.19,405317
2022-10-31 00:00:00+00:00,56.14,56.93,55.1,55.62,469596
2022-11-01 00:00:00+00:00,56.7,57.8,56.0,57.17,290420
2022-11-02 00:00:00+00:00,54.59,58.0,54.56,56.07,526256
2022-11-03 00:00:00+00:00,54.18,54.93,52.855,53.31,323413
2022-11-04 00:00:00+00:00,55.35,56.53,53.98,55.08,1443376
2022-11-07 00:00:00+00:00,55.48,56.32,54.968,55.74,777316
2022-11-08 00:00:00+00:00,55.54,56.88,54.66,56.31,552887
2022-11-09 00:00:00+00:00,53.47,55.39,53.27,54.35,737255
2022-11-10 00:00:00+00:00,57.2,57.55,53.105,56.51,894382
2022-11-11 00:00:00+00:00,58.95,60.625,57.11,57.11,916034
2022-11-14 00:00:00+00:00,60.65,62.21,58.18,58.18,922411
2022-11-15 00:00:00+00:00,64.05,65.94,61.13,61.52,787042
2022-11-16 00:00:00+00:00,64.59,64.77,61.5465,63.12,527556
2022-11-17 00:00:00+00:00,63.72,64.41,62.42,63.04,585528
2022-11-18 00:00:00+00:00,64.47,65.91,63.93,65.4,493920
2022-11-21 00:00:00+00:00,63.58,64.48,62.75,63.86,672755
2022-11-22 00:00:00+00:00,65.85,65.95,63.29,63.58,694422
2022-11-23 00:00:00+00:00,65.14,65.625,64.59,65.01,418013
2022-11-25 00:00:00+00:00,65.45,65.68,64.195,64.54,232580
2022-11-28 00:00:00+00:00,64.49,65.535,64.17,64.65,477743
2022-11-29 00:00:00+00:00,64.56,65.15,63.54,64.49,877454
2022-11-30 00:00:00+00:00,64.77,65.055,63.35,64.71,880818
2022-12-01 00:00:00+00:00,64.26,65.595,63.975,64.77,605651
2022-12-02 00:00:00+00:00,63.73,64.37,62.5,62.92,667292
2022-12-05 00:00:00+00:00,63.62,64.055,63.18,63.63,475275
2022-12-06 00:00:00+00:00,62.39,63.856,61.79,63.34,437581
2022-12-07 00:00:00+00:00,61.87,62.59,60.7475,62.02,500609
2022-12-08 00:00:00+00:00,63.49,63.69,62.34,62.87,473461
2022-12-09 00:00:00+00:00,63.23,63.86,62.59,63.45,364029
2022-12-12 00:00:00+00:00,64.26,64.32,60.41,62.97,551873
2022-12-13 00:00:00+00:00,65.95,67.83,65.135,67.0,808133
2022-12-14 00:00:00+00:00,65.83,66.74,64.838,65.33,860575
2022-12-15 00:00:00+00:00,63.94,65.0,63.41,64.68,713411
2022-12-16 00:00:00+00:00,63.12,64.17,56.53,62.81,1595795
2022-12-19 00:00:00+00:00,59.57,63.2,59.4,62.59,1036043
2022-12-20 00:00:00+00:00,59.71,60.665,58.85,59.47,1137965
2022-12-21 00:00:00+00:00,59.26,60.93,58.37,60.09,713563
2022-12-22 00:00:00+00:00,58.25,58.72,56.85,58.68,466805
2022-12-23 00:00:00+00:00,59.29,59.31,57.6,58.13,426012
2022-12-27 00:00:00+00:00,59.32,60.11,57.3352,59.32,419531
2022-12-28 00:00:00+00:00,57.33,59.94,57.3,59.32,475095
2022-12-29 00:00:00+00:00,58.31,58.78,57.18,57.95,711200
2022-12-30 00:00:00+00:00,58.6,59.0,57.03,57.71,471232
2023-01-03 00:00:00+00:00,58.12,60.2,57.37,59.64,449488
2023-01-04 00:00:00+00:00,59.39,59.84,58.31,58.65,434152
2023-01-05 00:00:00+00:00,58.56,59.18,58.25,58.82,329600
2023-01-06 00:00:00+00:00,59.38,59.71,58.49,59.26,383374
2023-01-09 00:00:00+00:00,59.4,60.03,58.93,59.76,502797
2023-01-10 00:00:00+00:00,59.74,59.815,58.546,59.06,374189
2023-01-11 00:00:00+00:00,59.71,60.43,59.18,59.62,944428
2023-01-12 00:00:00+00:00,61.23,61.31,59.15,59.8,493466
2023-01-13 00:00:00+00:00,62.05,62.27,60.49,60.52,476841
2023-01-17 00:00:00+00:00,63.01,63.4,61.73,61.73,302070
2023-01-18 00:00:00+00:00,61.83,64.32,61.78,63.4,698725
2023-01-19 00:00:00+00:00,61.37,61.71,60.51,61.26,268321
2023-01-20 00:00:00+00:00,62.95,62.96,61.21,62.15,338844
2023-01-23 00:00:00+00:00,64.21,64.22,62.55,62.99,414064
2023-01-24 00:00:00+00:00,63.38,64.5,63.04,64.16,187629
