date,Open,High,Low,Close,Volume
2025-02-27 15:00:00+00:00,4.21,4.23,4.11,4.12,3749.0
2025-02-27 16:00:00+00:00,4.12,4.16,4.105,4.16,357.0
2025-02-27 17:00:00+00:00,4.17,4.22,4.17,4.2,1253.0
2025-02-27 18:00:00+00:00,4.2,4.28,4.18,4.255,1897.0
2025-02-27 19:00:00+00:00,4.25,4.25,4.0,4.015,13820.0
2025-02-27 20:00:00+00:00,4.015,4.04,4.01,4.04,300.0
2025-02-28 15:00:00+00:00,4.12,4.235,4.12,4.21,500.0
2025-02-28 16:00:00+00:00,4.21,4.365,4.21,4.35,6366.0
2025-02-28 17:00:00+00:00,4.35,4.35,4.17,4.17,200.0
2025-02-28 18:00:00+00:00,3.99,3.99,3.92,3.98,500.0
2025-02-28 19:00:00+00:00,3.98,3.98,3.98,3.98,0.0
2025-02-28 20:00:00+00:00,3.98,3.98,3.98,3.98,0.0
2025-03-03 15:00:00+00:00,4.0,4.0,4.0,4.0,0.0
2025-03-03 16:00:00+00:00,4.0,4.14,4.0,4.14,200.0
2025-03-03 17:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-03 18:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-03 19:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-03 20:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-04 15:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-04 16:00:00+00:00,4.14,4.14,4.07,4.07,100.0
2025-03-04 17:00:00+00:00,4.07,4.07,4.07,4.07,0.0
2025-03-04 18:00:00+00:00,4.07,4.07,4.07,4.07,0.0
2025-03-04 19:00:00+00:00,4.07,4.07,4.07,4.07,0.0
2025-03-04 20:00:00+00:00,4.07,4.07,3.93,3.96,300.0
2025-03-05 15:00:00+00:00,3.96,3.96,3.96,3.96,0.0
2025-03-05 16:00:00+00:00,3.96,3.96,3.96,3.96,0.0
2025-03-05 17:00:00+00:00,3.96,3.96,3.96,3.96,0.0
2025-03-05 18:00:00+00:00,3.96,3.96,3.96,3.96,0.0
2025-03-05 19:00:00+00:00,3.96,3.96,3.96,3.96,0.0
2025-03-05 20:00:00+00:00,3.96,4.11,3.96,4.11,301.0
2025-03-06 15:00:00+00:00,4.01,4.01,4.01,4.01,0.0
2025-03-06 16:00:00+00:00,4.01,4.24,4.01,4.1,10.0
2025-03-06 17:00:00+00:00,4.1,4.1,4.1,4.1,0.0
2025-03-06 18:00:00+00:00,4.1,4.21,4.1,4.2,253.0
2025-03-06 19:00:00+00:00,4.2,4.2,4.2,4.2,104.0
2025-03-06 20:00:00+00:00,4.2,4.21,4.17,4.19,14.0
2025-03-07 15:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-07 16:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-07 17:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-07 18:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-07 19:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-07 20:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-10 14:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-10 15:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-10 16:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-10 17:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-10 18:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-10 19:00:00+00:00,4.19,4.19,4.19,4.19,0.0
2025-03-11 14:00:00+00:00,4.19,4.2,4.04,4.04,300.0
2025-03-11 15:00:00+00:00,4.04,4.04,4.04,4.04,0.0
2025-03-11 16:00:00+00:00,4.04,4.04,4.04,4.04,0.0
2025-03-11 17:00:00+00:00,4.04,4.04,4.04,4.04,0.0
2025-03-11 18:00:00+00:00,4.04,4.14,4.04,4.14,100.0
2025-03-11 19:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-12 14:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-12 15:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-12 16:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-12 17:00:00+00:00,4.14,4.14,4.13,4.14,300.0
2025-03-12 18:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-12 19:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-13 14:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-13 15:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-13 16:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-13 17:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-13 18:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-13 19:00:00+00:00,4.14,4.14,4.14,4.14,0.0
2025-03-14 14:00:00+00:00,4.14,4.22,4.14,4.22,100.0
2025-03-14 15:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-14 16:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-14 17:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-14 18:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-14 19:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-17 14:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-17 15:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-17 16:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-17 17:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-17 18:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-17 19:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-18 14:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-18 15:00:00+00:00,4.22,4.22,4.22,4.22,0.0
2025-03-18 16:00:00+00:00,4.22,4.87,4.22,4.87,144.0
2025-03-18 17:00:00+00:00,4.87,4.87,4.87,4.87,0.0
2025-03-18 18:00:00+00:00,4.87,4.87,4.87,4.87,0.0
2025-03-18 19:00:00+00:00,4.87,4.87,4.65,4.65,200.0
2025-03-19 14:00:00+00:00,4.65,4.65,4.65,4.65,0.0
2025-03-19 15:00:00+00:00,4.65,4.65,4.65,4.65,0.0
2025-03-19 16:00:00+00:00,4.65,4.65,4.65,4.65,0.0
2025-03-19 17:00:00+00:00,4.65,4.65,4.65,4.65,0.0
2025-03-19 18:00:00+00:00,4.65,4.65,4.65,4.65,0.0
2025-03-19 19:00:00+00:00,4.65,4.89,4.65,4.89,2.0
2025-03-20 14:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-20 15:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-20 16:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-20 17:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-20 18:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-20 19:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-21 14:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-21 15:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-21 16:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-21 17:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-21 18:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-21 19:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-24 14:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-24 15:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-24 16:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-24 17:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-24 18:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-24 19:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-25 14:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-25 15:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-25 16:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-25 17:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-25 18:00:00+00:00,4.89,4.89,4.89,4.89,0.0
2025-03-25 19:00:00+00:00,4.89,4.89,4.7,4.7,100.0
2025-03-26 14:00:00+00:00,4.7,4.7,4.7,4.7,0.0
2025-03-26 15:00:00+00:00,4.7,4.7,4.7,4.7,0.0
2025-03-26 16:00:00+00:00,4.7,4.7,4.7,4.7,0.0
2025-03-26 17:00:00+00:00,4.7,4.7,4.7,4.7,0.0
2025-03-26 18:00:00+00:00,4.7,4.7,4.7,4.7,0.0
2025-03-26 19:00:00+00:00,4.7,4.7,4.7,4.7,0.0
2025-03-27 14:00:00+00:00,4.7,4.7,4.7,4.7,0.0
2025-03-27 15:00:00+00:00,4.7,4.73,4.7,4.73,100.0
2025-03-27 16:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-27 17:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-27 18:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-27 19:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-28 14:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-28 15:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-28 16:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-28 17:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-28 18:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-28 19:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-31 14:00:00+00:00,4.73,4.73,4.73,4.73,0.0
2025-03-31 15:00:00+00:00,4.73,4.73,4.2,4.2,600.0
2025-03-31 16:00:00+00:00,4.2,4.2,4.2,4.2,0.0
2025-03-31 17:00:00+00:00,4.2,4.2,4.2,4.2,0.0
2025-03-31 18:00:00+00:00,4.2,4.2,4.2,4.2,0.0
2025-03-31 19:00:00+00:00,4.2,4.34,4.2,4.34,4.0
2025-04-01 14:00:00+00:00,4.12,4.12,4.12,4.12,0.0
2025-04-01 15:00:00+00:00,4.12,4.12,3.8,3.8,152.0
2025-04-01 16:00:00+00:00,3.8,3.8,3.8,3.8,0.0
