date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,2.06,2.22,2.01,2.16,692016
2022-01-07 00:00:00+00:00,2.09,2.2,2.0,2.1,636671
2022-01-14 00:00:00+00:00,1.86,2.11,1.75,2.11,899331
2022-01-21 00:00:00+00:00,1.56,1.845,1.53,1.82,670005
2022-01-28 00:00:00+00:00,1.26,1.61,1.16,1.52,1334536
2022-02-04 00:00:00+00:00,1.22,1.45,1.2,1.27,843016
2022-02-11 00:00:00+00:00,1.22,1.377,1.15,1.23,751907
2022-02-18 00:00:00+00:00,1.36,1.42,1.15,1.23,914209
2022-02-25 00:00:00+00:00,1.35,1.42,1.13,1.31,348516
2022-03-04 00:00:00+00:00,1.55,1.57,1.2878,1.33,448294
2022-03-11 00:00:00+00:00,1.28,1.7,1.22,1.53,486918
2022-03-18 00:00:00+00:00,1.41,1.44,1.15,1.29,467459
2022-03-25 00:00:00+00:00,1.29,1.45,1.2,1.39,343638
2022-04-01 00:00:00+00:00,1.44,1.6,1.261,1.2899,865110
2022-04-08 00:00:00+00:00,1.22,1.53,1.2,1.42,1082041
2022-04-15 00:00:00+00:00,1.16,1.27,1.12,1.24,583189
2022-04-22 00:00:00+00:00,1.08,1.27,1.07,1.18,673791
2022-04-29 00:00:00+00:00,1.01,1.1,0.94,1.04,685670
2022-05-06 00:00:00+00:00,1.07,1.25,0.96,0.96,796709
2022-05-13 00:00:00+00:00,0.840101,1.035,0.75,1.0,853201
2022-05-20 00:00:00+00:00,0.8701,0.9499,0.7906,0.8479,968227
2022-05-27 00:00:00+00:00,1.0,1.08,0.86,0.8929,425522
2022-06-03 00:00:00+00:00,0.9594,1.03,0.78,1.0,434683
2022-06-10 00:00:00+00:00,0.951,1.09,0.951,1.0,454343
2022-06-17 00:00:00+00:00,0.83,0.95,0.75,0.95,636616
2022-06-24 00:00:00+00:00,0.96,1.0099,0.79,0.84,411173
2022-07-01 00:00:00+00:00,0.9805,1.02,0.88,0.95,244414
2022-07-08 00:00:00+00:00,1.2,1.2699,0.9594,1.0,723445
2022-07-15 00:00:00+00:00,1.09,1.2699,1.07,1.19,280158
2022-07-22 00:00:00+00:00,0.9602,1.1345,0.91,1.12,513447
2022-07-29 00:00:00+00:00,0.9481,1.02,0.93,1.02,151947
2022-08-05 00:00:00+00:00,1.11,1.15,0.9098,0.9098,297578
2022-08-12 00:00:00+00:00,1.18,1.22,1.08,1.1,153464
2022-08-19 00:00:00+00:00,1.03,1.23,0.9733,1.19,385282
2022-08-26 00:00:00+00:00,0.99,1.05,0.96,1.0335,133915
2022-09-02 00:00:00+00:00,0.9152,1.0499,0.85,1.0499,282111
2022-09-09 00:00:00+00:00,0.8519,0.95,0.83,0.9106,336456
2022-09-16 00:00:00+00:00,0.7636,0.8801,0.7056,0.85,373042
2022-09-23 00:00:00+00:00,0.74,0.8178,0.68,0.7601,291011
2022-09-30 00:00:00+00:00,0.79,0.9,0.6325,0.74,628010
